,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
90,Where’s the help?,1,False,"where’s the help? this app is intended for more than just personal well being. it is also intended for a person to be able to manage their health care, but those options are hidden at the bottom of the screen in light gray letters. the majority of the app is just a calendar of articles telling you what you should be doing - what a waste of space!",eidox,2020-05-26 11:37:05,nan,nan,nan
91,Amazing Mayo Clinic health “everything” app!,5,False,amazing mayo clinic health “everything” app! all of my medical health info in one place!  my stress surrounding appointments has been reduced significantly. no need to pull out papers or remember all of the details - it’s just a face recognition sign in away!  thank you!!!,Jolene's Ipod,2018-09-12 07:20:40,nan,nan,nan
92,Not an improvement,2,False,not an improvement. the last app was much better when you login to this app you are faced with pictures and weird graphics the. i need to navigate to the menu which is buried at the bottom and not intuitive   i want to see the menu as soon as i log in not the pics. i watch tv when i need to see pictures,EC18MK,2018-05-16 01:08:19,nan,nan,nan
93,Love the app BUT,5,False,love the app but. i absolutely love the convenience of this app! but my only complaint...some test results should not be available before you speak to your health care provider!,Sharks7525,2020-10-07 00:05:56,nan,nan,nan
94,Love the new app only one problem,5,False,love the new app only one problem. the only problem i can find is how do you print your blood test results. i need to carry records for when i travel. my blood tests are import for my health.,kooty12,2018-07-24 17:38:16,kooty12 - 🙌 🎉 🎊 😎 Awesome!  Thanks for the great review!  We’ll be looking into ways to enable that feature in a future version.  If you think of anything we can do better - feel free to drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4430562.0,2018-07-28T01:46:11Z
95,Great early morning ride to the airport,5,False,great early morning ride to the airport. we were so thankful for a quick and safe ride to the airport after our mayo trip. the car was cleaning comfortable.,casbah2021,2021-01-23 15:35:22,nan,nan,nan
96,Excellent Medical App,5,False,excellent medical app. we are thrilled with the mayo app. we can talk directly with our care providers and get quick lab results straight to our phone!,BummedinIdaho,2020-06-30 16:23:10,nan,nan,nan
97,Not Great,1,False,"not great. app is awkward and non-intuitive. many things just don’t work. “click here for questionnaire” pops you to a screen to download the app (which you’re already in).  appointment “ordered” for cologuard and the schedulr writes, “check your appointment guide” - but after 10 minutes of rabbit-holing, can’t find that anywhere. mayo is great for patient care. not so much for digital tools.",Frusration,2020-08-29 04:09:28,nan,nan,nan
98,App no longer works.,2,False,"app no longer works. i use to use this app all the time but now it keeps saying can’t retrieve data, try again and keeps blinking this screen. i deleted and reloaded app and the same thing happens. i have the latest update. i really need this app working again for my appointments. let me know if there’s a work around i can do. thanks.",Katenac,2020-01-20 23:37:19,nan,nan,nan
99,It always says “could not sign in at this time”,1,False,"it always says “could not sign in at this time”. never have been able to get it to log me in.  it fails twice, then tries to make me go through account recovery, only to immediately fail in the same way again.  the same credentials that are allegedly incorrect for the app log me in to my account just fine if i use the web version of the patient portal instead.",Subdolus,2020-01-06 14:02:57,nan,nan,nan
100,Notifications,4,False,"notifications. the app only notifies you when there is a new article. no notifications for messages, lab results, billing, etc. e everything in the “patient” folder ought to have a notification.",Paid!,2019-06-12 14:22:47,nan,nan,nan
101,Very user friendly,5,False,"very user friendly. awesome, patient portal. have used 6 different portals in my life, hands down the easiest, well thought out and immediate information available. 2nd to none!",Really64,2019-08-19 21:27:17,nan,nan,nan
102,Dark mode is broken,2,False,dark mode is broken. i have to change to light mode to send any messages since there’s no contrast.   there’s no good reason to disable replies on some messages.   i could not find a way to see my appointment/schedule history to find a given desk when i was late for an appointment.,mredig,2020-06-25 02:09:32,nan,nan,nan
103,Data out of date,4,False,"data out of date. still lists incorrect data, including some which i have asked to be corrected.  but it’s convenient if you know what to ignore.",d_augustine,2021-02-19 04:40:24,nan,nan,nan
104,Isn’t user friendly,3,False,isn’t user friendly. does not list enough information on the app about covid shots or testing site hours.  this site should be more user friendly for patients and it doesn’t come close.,amylee62,2021-11-17 02:39:24,nan,nan,nan
105,One Star for Mayo,1,False,one star for mayo. i hate the new mayo clinic app. they have redesigned it and lost a lot of my past information. it's just like going to mayo… the doctors don't know what they're doing… and discard all the past information you bring them to consider. don't waste your money or time. i've had a terrible experience at mayo in the past and their app is also bad.,merlie37,2021-05-01 18:58:35,nan,nan,nan
106,Some result sections not available,4,False,"some result sections not available. in the last week or so i am no longer able to review lab, radiology, or pathology reports. they work just fine if i go to the website.",Ambrosia282,2020-10-03 22:58:15,nan,nan,nan
107,Mayo App,3,False,"mayo app. i did like the app, but this latest update dropped several test results i would like to share with my primary doc. also, there doesn’t seem to be a way to print any results. so pretty useless unless the patient is a medical professional.",Adlumia12,2019-12-27 18:21:08,nan,nan,nan
108,Mayo Clinic ap,5,False,mayo clinic ap. look at your ap on a daily basis.  love your up to date pertinent info.  helps me be healthy and live life to the fullest! we love and appreciate what you do.,EKKENMA,2021-08-20 11:14:26,nan,nan,nan
109,New app,5,True,"new app. a “minor” discrepancy in my information when this new app updated, but the staff were quick to revise the information.",Wolfman7059,2018-04-19 02:36:46,It should be updated now - please let us know if that isn't the case.,3178305.0,2018-04-19T02:36:46Z
110,Garbled text in test results,2,False,garbled text in test results. website is absolutely not mobile friendly. the app should solve that but does not. when viewing test results and reading the notes the word wrap is broken. the text is wrapped incorrectly and unreadable. don’t recommend!,tre-flip,2020-07-26 06:21:52,nan,nan,nan
111,Great tool for patients,5,False,great tool for patients. this is a must have app for patients. it is easy to use and navigate. this is another reason why mayo is one of the best medical providers out there.,Sum youn ho,2019-05-09 12:16:08,nan,nan,nan
112,Grateful,5,False,"grateful. really love this app. can look at my medical records, email drs, nurse etc., even look at x-rays and other imaging. just a really great way to stay up to date with your health related issues.",Shona&aly,2017-07-21 14:46:14,nan,nan,nan
113,Mayo Clinic May Be #1 But This App Isn’t!,1,False,"mayo clinic may be #1 but this app isn’t! in an attempt to continue to improve this app so that it resembles what it once was... pre epic, the latest app fails miserably. something as simple as logging off without resetting the app’s settings has now become a mystery. and how about using touch id? why not allow a registered app user to log on using it? this app obviously was not field tested with its power users.",WxMan123,2018-07-14 12:16:47,WxMan123 - sorry you’re having issues.  We know how frustrating it is when something doesn’t work well.  Our latest version of the app included a padlock icon on top of the Patient screen that should make signing out much simpler for patients and should allow TouchID to work much better when you come back to the app. If that still doesn’t help you - please drop us an email with your username and we’ll have the technical teams troubleshoot things further.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258670.0,2018-07-16T17:24:41Z
114,Lightning fast,5,False,lightning fast. every result is in real time as quickly as it comes to your provider. super helpful tool to have when at mayo.,starfilled57,2019-12-06 17:07:52,nan,nan,nan
115,Waste of Time,2,False,"waste of time. my appointment is next tuesday, august 5th.  i received an email saying that i have a form(s) to complete before my visit.  when i go to look for the form(s) i find all sort of information, but nothing as to forms to complete.  i guess i’ll complete them when i arrive tuesday.",Allen's Diner Regular,2020-08-01 21:05:52,nan,nan,nan
116,Billing portion,2,False,"billing portion. from my ipad i am unable to get copies of statements from mayo clinic rochester showing how billing totals were arrived. i am using the new and improved mayo clinic app. also, if i choose not to pay on line, where does one send the payment?  since i have no desk top computer, i find the lack of information really frustrating.",Window woman,2019-01-08 20:16:38,nan,nan,nan
117,Room for improvement,2,False,room for improvement. this is a good app to use for contacting your provider for non urgent questions as well as for insurance questions. it does not accurately track historical data nor does it accurately track labs or provide a picture of what that might mean. explanations are clearing lacking. this app could be much better.,Petunia1133,2020-05-04 14:45:00,nan,nan,nan
118,Online portal,1,False,online portal. i continue to be locked out of my own account and mayo refuses to send me a password reset. keep getting can’t password reset now . always having to have prove who i am . mayo do better !!! this is ridiculous that i have the same issues over and over to my online access.,angelwings0810,2022-04-17 14:22:35,nan,nan,nan
119,‘Upgrade’,1,False,"‘upgrade’. this app was working great before the upgrade to the new system. since then, information is not able to be kept current for messages, notes and documents. the provider must be called for any information, which defeats the purpose of sending messages and reviewing information online.",unhappy102938,2018-05-09 21:36:50,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3423740.0,2018-05-10T15:44:15Z
120,saved favorites,4,False,saved favorites. it would be very helpful if i/you could sort my “save favorites” into separate category lists.,Howard G.,2021-09-30 16:17:34,nan,nan,nan
121,User-friendly,5,False,user-friendly. this app is very user-friendly. i love that i can message my provider and check my future appointments. very helpful!,KieleAnn,2019-03-07 04:59:06,nan,nan,nan
122,Great application!,5,False,"great application! quick access to your doctors notes, test results, appointments, etc..",imamom3,2020-10-23 15:11:36,nan,nan,nan
123,Needs Improvement,2,False,needs improvement. i follow the link from my email and opt to open in the app. it just goes in circles back to the app store. they need a lot of work on this to bring it up to date especially in times like this. i’d give it a 1.5 if i could if not for all the useful information.,Lindsanne86,2020-04-21 00:23:52,nan,nan,nan
124,Patient Documents and Notes,1,False,patient documents and notes. ever since the new system was launched i cannot rad the notes entered by my husbands  mayo hospice caregivers.  i am his voice with permission as well as being his power of attorney.  i looked in my own  portal and see the documents and notes are not visible.  hospice tells me i should be able to view everything they see and enter.  so disappointed!,Murlinmarie,2018-07-10 15:52:56,Murlinmarie - oh no - we’re sorry!  We know how frustrating it is when something doesn’t work well.  If you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258572.0,2018-07-16T17:17:59Z
125,Good but lacking,3,False,good but lacking. new view is great but have lost information to track scripts when doc orders. no dated information when script has been sent or message back that request has been reviewed or action taken,GigabyteFL,2018-11-23 06:07:49,nan,nan,nan
126,Useless compared to previous comprehensive versions,1,False,"useless compared to previous comprehensive versions. no symptom checker  content is all generic identity keyed info pertaining to all, thus relating to no possible linking of an individual’s medical situation.  overall effect of the present app is to be nothing more than a general interest magazine one reads while waiting in an office or while relieving oneself on a toilet.",Deux a machina,2022-01-17 09:10:15,nan,nan,nan
127,Needs improvement,3,False,needs improvement. logs you out after short periods of time; constantly have issues sending messages.,SweetiePie-2021,2021-10-15 21:19:33,nan,nan,nan
128,Needs improvement,4,False,"needs improvement. great app, but my husband and i would like an automatic sign in option so we don’t have to type in a password all the time.",Helenaaaaaa,2020-01-21 16:03:52,nan,nan,nan
129,App rocks!,5,False,"app rocks! great app!  intuitive and easy to use.  tons of great info, tips and recipes with your healthcare professionals at your fingertips.  it’s a good time to be alive!",Antique Future,2020-05-26 18:41:20,nan,nan,nan
130,"Clear, easy to read - but can’t figure out how to add",3,False,"clear, easy to read - but can’t figure out how to add. sleek design, loads smoothly.  completely lost, however, on how to add information.  example: i have allergies and medications. tried several times to complete, still puzzled.",Wisconsin cheese girl,2020-01-28 04:28:44,nan,nan,nan
131,Mayo App is amazing for patients.,4,False,"mayo app is amazing for patients. besides a continuous flow of up-to-date - credible - medical information for patients this is amazing. as appointments change the app is cirrent, and results ar presented thru the app very quickly after the test.",I came I saw I left,2019-12-03 21:33:48,nan,nan,nan
132,Excellent Thank you!,5,False,"excellent thank you! excellent app, easy to view labs and message doctors.  easy to view appointments and set reminders",Joe and April,2020-12-29 18:54:50,nan,nan,nan
133,Lack of search function renders app pretty useless,3,False,lack of search function renders app pretty useless. this would be a great app were it not for the fact that there is no search function. far too much info to sort without a search utility.,~jlb,2017-08-19 21:41:44,nan,nan,nan
134,"Great app, does it all",5,False,"great app, does it all. and it’s getting better by the day, i can do everything from within the app.",Amnon Feiner,2018-12-14 16:32:39,nan,nan,nan
135,Mayo App,5,False,"mayo app. i find this app to be most useful.  my doctors send messages, i have my records at my fingertips, reports are available, appointments at a glance and lab results. very progressive!",Joyce32224,2017-12-31 22:40:06,nan,nan,nan
136,Alert message,3,False,"alert message. the app needs to have an alert on what is new. when you get an email telling you have a new message or lab result, but you dig in your portal trying to figure out what it is. the old app had that alert. thanks",Angie1942,2018-04-26 19:33:35,nan,nan,nan
137,Unfriendly!,1,False,"unfriendly! fortunately, i’m fairly healthy and don’t visit the clinic very often. i’m happy to try your new app, but i’ve forgotten my account password. there is not an option to reset a password by sending a link to my email, which is customary. now i have to call the clinic for in-person help. i won’t use your app after all. no stars from me.",Stone Garden,2019-07-13 17:59:42,nan,nan,nan
138,Must have,5,False,must have. if your going to the mayo clinic download this app. it is the best thing you could have to help you with your stay while st the clinic.,Coach Speer,2018-08-09 16:03:25,nan,nan,nan
139,"Okay, but..",3,False,"okay, but.. great for getting info that the dr has deemed you can have portal access to. but site has bugs and very limited general info. i don’t know, just not all that impressed?..",voodookittyx,2021-06-18 00:17:32,nan,nan,nan
140,Great Tool,4,False,great tool. i think the app is easy to use. i like the information to read and view.,Bookworm want-a-be,2022-04-27 02:23:53,nan,nan,nan
141,Poor update.,5,False,poor update. i am unable to email my team with equipment needs for cochlear supplies on this app. the last app was much better,thaienekdnsbf,2018-04-18 16:17:11,nan,nan,nan
142,Version 8.0 Removes Patient Access to View if Message was Read by Provider,1,False,version 8.0 removes patient access to view if message was read by provider. don’t update if you want to retain the ability to know as a patient if your message has been viewed by the provider. they removed the option for patient to view if read.,zeroxeronoluck,2021-08-20 01:07:08,nan,nan,nan
143,Great care!,5,False,great care! everyone is very professional. always kept me informed of what was going on.,Nettybyrd,2020-08-28 17:28:48,nan,nan,nan
144,Glitchy,3,False,glitchy. i am trying to log in i type in all the correct information and i keep getting an error message,Jessicake2,2022-02-07 23:00:50,nan,nan,nan
145,Poorly laid out and glitchy,2,False,poorly laid out and glitchy. this app should be better.  attempts to contact the provider here get error messages.  as do attempts to link accounts to comment on the app.  may i should learn from other systems with better apps.,MarriotGoldMember,2021-10-04 13:17:14,nan,nan,nan
146,Good and bad,3,False,"good and bad. some great features but the paper system was much better for navigating the campus.  the app’s top level appoint screen doesn’t have details of each appointment, you have to dig though sub menu to get any relevant facts.",pkrehbiel,2018-10-25 16:52:07,nan,nan,nan
147,Meh!,3,False,"meh! three stars because although the mayo health info is great, the patient personal info area is hard to navigate, often difficult to find where to click.",Endgamers2019,2020-01-27 14:02:02,nan,nan,nan
148,Can’t print or email results to myself,2,False,can’t print or email results to myself. this app makes it hard to compare past results with newest ones. i want to be able to print out results,larumm,2021-09-28 16:15:46,nan,nan,nan
149,Very Good Clinic App,5,False,very good clinic app. i am very pleased to say that this is a very well designed app. much better than my local health provider’s app for sure.,Tlf560,2020-03-20 20:38:32,nan,nan,nan
150,Non functioning,1,True,"non functioning. i signed up for a mayo account which functions pretty well, then downloaded the app because the normal link kept offering it.  over and over again the mayo app refused to log on.  i've deleted the app and am now ignoring all the offers for the app that kept popping up on the main account pages.",Pat Hammarback,2019-11-20 13:33:33,Hey make this simple! - oh no - we’re sorry!  We know how frustrating it is when something doesn’t work well.  If you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.,3930987.0,2019-11-20T13:33:33Z
151,Wonderful app,5,False,wonderful app. very informative and useful to manage your information. mayo in general is very impressive and there app equals their dedication to their patients.,Juce99,2019-01-06 11:04:30,nan,nan,nan
152,Mayo app,5,False,mayo app. gets you all your information quickly and with ease,heatherot,2018-06-13 18:05:04,😀 😀 Thanks!  If you have ideas for what we could do better feel free to send us an email.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,3930788.0,2018-06-21T19:28:48Z
153,Awful,1,False,awful. literally the worst. horrible for anyone over 35. not tech or user friendly. bunch of useless health blog information on there. can’t even leave feedback or check medical information without an error message. this needs to be totally reevaluated. it’s the worst.,xiomarazz,2022-01-06 18:18:08,nan,nan,nan
154,Mayo app,3,False,mayo app. please keep in mind you  service a lot of elderly patients which many have a difficult time navigating this app. please keep it simple and to the point. thank you for this opportunity to air my concerns,Jddsix,2019-09-08 16:08:51,nan,nan,nan
155,A few Bugs…,3,False,a few bugs…. has a few bugs - including a bug/error message preventing me to send a message about bugs!,Mikespike501,2021-11-22 17:26:33,nan,nan,nan
156,Mayo app review,5,False,"mayo app review. i really enjoy the app, it’s easy to use, contains an enormous amount of information, and makes it easy to communicate with any department at mayo.",rapidwater,2018-12-13 15:55:28,nan,nan,nan
157,Absolutely fantastic,5,False,absolutely fantastic. one of the best apps for all my health care needs and the facility is amazing too,BobDole4200,2021-08-22 04:57:54,nan,nan,nan
158,Sent messages,1,False,"sent messages. where are my sent messages - - my history. i need to see my history - - such as, when is the last time i discussed - whatever! the answer is in my sent messages. it’s a serious defect to eliminate message history - in fact a very dumb idea. and, the “email” message history does not consume a lot of resources.",94055118995645058,2021-10-27 03:19:38,nan,nan,nan
159,Broken Questionnaire Section,2,False,broken questionnaire section. i’d give 5 stars if they fix the questionnaire section. it gets stuck and you can’t submit it. can’t fill out your info before your appointments. it’s been like this for a long time.,Alf4lifeHolmes,2020-09-22 16:43:42,nan,nan,nan
160,Lab results,4,False,lab results. downloading lab results you need to be formatted in a way you can print them out as the are shown on the my screen.,wcybewh u,2019-07-30 14:37:51,nan,nan,nan
161,Literally amazing,5,False,literally amazing. the best healthcare app ive ever used. if i could give more than 5 stars i would!,ajcarr81,2020-08-01 04:33:36,nan,nan,nan
162,Unable to cancel - keep getting billed,1,False,unable to cancel - keep getting billed. very frustrating!   i tried (2) x’s to cancel and yet i keep getting billed.  i don’t even use the app.  tried it for the’trial’ period and have been unsuccessful in getting my cc removed from the site ever since.   do not put your cc info in unless you want to be eternally committed to this site!,SPeters1970,2019-12-13 13:39:13,nan,nan,nan
163,"Great Hospital, Great App",4,False,"great hospital, great app. the redesign gets it right, many app developers could learn something what the team at mayo has accomplished. next version i would like to see apple health and/or watch integration.",GeeMoney57,2018-06-22 10:50:34,GeeMoney57 - 😎 - thanks!  We do already have Apple Health integration (Profile - Settings - Connect to Apple Health) as well as Watch integration.  Check them out and let us know if you have any suggestions for improvements. Our email is mcmobileapps@mayo.edu.  Thanks so much.,4061894.0,2018-07-02T18:45:28Z
164,New version,2,False,new version. since mayo did computer upgrading few months ago i can not access radiology reports or images in the app.  called many times on it still not working.  everything else works fine,gillettwi,2019-03-13 04:37:43,nan,nan,nan
165,<5 for Mankato 😡 >3 for Rochester 🙏🏼,4,False,"<5 for mankato 😡 >3 for rochester 🙏🏼. home page feels like most social media feeds, user friendly, decent amount of information available.",JPXIIXIV,2020-03-01 07:10:22,nan,nan,nan
166,Made me stay easier,5,False,made me stay easier. this app help make my stay so much easier.  i could keep my schedule in order at a glance. i was able to view the lab work and x-rays as soon as they posted.  allowing me to be prepared for my appts with my drs.  over all having mayo at my finger tip 24/7 gave me a safety net during my visit. it made me feel better. thank you. lauralee,lauralee92,2017-09-25 20:04:53,nan,nan,nan
167,I found that the application makes contacting my physician easy,5,True,i found that the application makes contacting my physician easy. please don’t permanently take out the rx’s filled section.,Baybblu19,2019-02-08 17:29:25,"Baybblu19, sorry you’re having trouble with the new changes.  We work on improving the app with every release.  Our 4.0 release was a pretty major change to the user experience so we would understand if that would cause some frustration.  If you email us with your username and a short description of the changes you don’t like - that will help us improve the app in future releases.  Our email is mcmobileapps@mayo.edu.  Thank you.",3915620.0,2019-02-08T17:29:25Z
168,New patient,5,False,new patient. very easy to view everything care related,Jax HC,2020-02-26 23:25:31,nan,nan,nan
169,Excellent,5,False,"excellent. one of the best designed apps i have seen. everything you need, laid out logically, presented perfectly.",Vista Clara,2019-08-24 01:08:41,nan,nan,nan
170,Health aspect great-Billing aspect poor,2,False,"health aspect great-billing aspect poor. longtime mayo patient. love their medical care. it has saved my life. however, the billing portion of this app is poor.  i use an ipad. unlike the mayo website, there is no access to account details on the app, and the statements that are available are constantly fluctuating.  distressing.",Lilyismycat02,2019-10-10 14:44:17,nan,nan,nan
171,Frustrated,1,False,"frustrated. i really can’t judge the app fully, as i can’t get my son registered. when i try to enter his birthdate, it switches back to current date in 2000. i’ve tried on both my iphone and ipad, but same issue. i’m sure it will be great once i can access his medical records, but first i have to be able to get him registered!",Alfhdbdh,2018-07-12 18:00:59,Alfhdbdh - sorry about that.  The app only allows an account to be created for someone over the age of 18.  If you’re looking to get proxy access for your son’t account - you’ll need to do that currently through Mayo’s Patient Online Services portal - www.mayoclinic.org.  If that still doesn’t help you - please drop us an email with your username and we’ll have the technical teams troubleshoot things further.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258621.0,2018-07-16T17:21:14Z
172,Troubles,1,False,troubles. the app seems to currently be having issues allowing any one in my family on. even after changing out passwords. we can log on through the website but not through the app,GrannieGuRah,2020-11-02 01:45:57,nan,nan,nan
173,Client friendly,5,False,client friendly. compliments to the mayo app team. i use 3 other apps from 3 other medical clinics. mayo gets 5-stars in comparison. thank you.,Earth spun,2019-08-16 20:57:01,nan,nan,nan
174,Patient,5,False,patient. user friendly and always up to date! a good way to communicate with staff.  love it!,sjg3!,2019-08-13 21:24:24,nan,nan,nan
175,Best advice and more for free,5,False,best advice and more for free. you can have the mayo clinic on your side or not; it’s up to you.  however it seems like a no-brainer.,Professor Garabaldi,2019-04-17 00:49:54,nan,nan,nan
176,App gets better and better!,5,False,app gets better and better! very happy with the app and how it has rapidly evolved to be my go-to tool of choice to interact with mayo.,Tony_AZ,2019-01-10 22:00:21,nan,nan,nan
177,Great Service,5,False,great service. in true mayo clinic tradition this is a well designed and well managed patient portal. it is invaluable. thank you. emh,oldesteddie,2021-09-15 15:15:26,nan,nan,nan
178,Not a stable app.,2,False,not a stable app. my thumbprint access keeps getting removed and my ability to log in manually seems to always lock my account,Snownut800,2020-12-15 15:56:47,nan,nan,nan
179,Apple Watch,1,False,"apple watch. watch series 5 - the app tells me first go on my phone. okay, did that and went to settings to allow for the watch. still not connecting. with my health issues my phone isn’t assessable sometimes and i am more likely to have my watch on. please make an app not in “complications “",Fla-granny,2020-02-23 13:44:05,nan,nan,nan
180,Exceptional App.,4,False,exceptional app. mayo has given me a very important tool to stay on top of my responsibility. thank you.  please put the search capability back in lab test results.,stevemoghaddam,2018-04-17 18:23:37,nan,nan,nan
181,Very convenient,5,False,"very convenient. awesome app! i work at mayo clinic, haven’t been to the doctor in a while, very user friendly!",Wallydagreemgiant,2019-05-24 18:19:48,nan,nan,nan
182,Great app,5,False,great app. really reduced the stress of logistics allowing to focus on the care. everything question i had was available in the app. echeckin was great.,NicAndy19,2019-03-25 14:12:24,nan,nan,nan
183,Has issues,2,False,"has issues. great app but lately i’ve noticed some issues:  pre check in- on ipad pro boxes are stacked on top of each other, you check the box to say info shown is correct and then the next and finish boxes are mostly hidden behind the “this info is correct box”.  top bar- shows as black with dark blue cancel, back, or ??? up need to press to move off the screen.   works fine on my iphone and old ipad air.",Shoiemn,2021-12-08 18:43:35,nan,nan,nan
184,Great App,5,False,"great app. thanks for the easiest way to retrieve store and monitor all i’m doing with you organization, 5 out of 5 tony c",DudeO~,2020-08-24 04:33:49,nan,nan,nan
185,Minor is allowed to withhold information,1,False,minor is allowed to withhold information. as a parent of a 13 yr old child there is no way there should be no rule to give the clinic or hospital the right to withhold medical information from their legal parent/ guardian...  they are a minor and not adult..   how do i get medical information for my minor child???  anyone think this is not morally and ethically right?,hudhcgdhcgcnvgv,2019-11-21 21:34:33,nan,nan,nan
186,Email & app not sync’d,3,False,email & app not sync’d. when i receive an email notification that i have a test result i would expect my app to open rather than entering an email and password on a webpage. c’mon mayo ux goes a long way,TechSmarts,2019-06-29 01:23:35,nan,nan,nan
187,Used to be a nice app,1,False,"used to be a nice app. this update is really disappointing. lost all access to things that were so intuitive to use. all of the social media, connect with an expert additions are crap. clearly didn’t ask end users what they want. i just want to look at my results and upcoming appointments.",MMD926,2019-06-06 02:43:14,nan,nan,nan
188,In the Dark Ages,1,False,"in the dark ages. mayo is notorious for being so far behind the research that it is practically anti-science, at least when it comes to contested illnesses and treatment, which comprise a huge swath of medicine. unfortunately this leads to a tremendous amount of iatrogenic morbidity and mortality. please do better. millions of lives are in the balance.",MedicineUpdate,2020-12-27 11:40:51,nan,nan,nan
189,God bless Mayo and each person that support Mayo,5,False,god bless mayo and each person that support mayo. true definition of keep hope alive god bless mayo go america.,2c Woods,2020-08-07 20:56:12,nan,nan,nan
190,Tip on Heel Pain,5,False,tip on heel pain. tip on heel pain is very effective and simple. i’ve been working on plantar fasciitis for years and could tell the difference overnight.,Lrwat,2018-11-05 18:35:57,nan,nan,nan
191,Excellent,5,False,"excellent. works fast, very convenient, well organized, and efficient.",546937;,2019-06-05 19:10:31,nan,nan,nan
192,Patient portal user,1,False,patient portal user. this app was not ready for release and is still rampant with errors. my test data that was easily viewable in the last portal is now either missing or filled with conversion defaults that are useless. i hope these errors are not leading to patient confusion and potentially critical heath issues.,Newlyminted,2019-02-12 15:08:46,nan,nan,nan
193,Best hospital app ever!!!!,5,False,"best hospital app ever!!!! everything you need is on one patient tab. including billing, appointments to radiology images and reports.",ACT737,2018-09-22 17:41:50,nan,nan,nan
194,Very basic functionality,3,False,very basic functionality. the app the mayo clinic used previously was much higher quality than this current tool.,Lesa8,2020-02-04 03:25:46,nan,nan,nan
195,Awesome app,5,False,awesome app. easy to use easy to share info,Sunnfungirl,2022-03-28 16:51:17,nan,nan,nan
196,Usually doesn’t work,1,False,"usually doesn’t work. this is great when it works but only works about 5% of the time, if that much. always says to isn’t working right now or to retry and it still doesn’t work when retrying. even downloaded and reloaded - still doesn’t work.",onelnsbt,2020-01-23 21:54:55,nan,nan,nan
197,Thanks,5,False,"thanks. super way to track appointments, lab results, documents, and your care team!!",Dan Kentz,2019-06-23 05:13:57,nan,nan,nan
198,Does not work with Apple,2,False,does not work with apple. the app has never worked with my iphone. is mayo doing unauthorized tracking as their patient portal also refuses to work with browsers that shut down trackers?,Oldguide999,2022-01-04 20:07:16,nan,nan,nan
199,Rate the Mayo Clinic App,5,False,"rate the mayo clinic app. easy to understand, follow and navigate through.",Veronajck,2021-02-08 19:39:31,nan,nan,nan
200,Pretty good,4,False,"pretty good. i do not have any major complaints, and four out of five stars is pretty good for me as i think that is pretty much 100%.  brenna",Starfly45,2019-07-08 07:10:11,nan,nan,nan
201,Lots of bugs,1,False,"lots of bugs. when i try to check vital signs, the app closes itself. it’s been like that for months. when i try to send a message about a bug or to report feedback, message won’t send.",pintofbadluck,2021-12-02 19:21:35,nan,nan,nan
202,Great app with everything you need,5,False,great app with everything you need. perfect,Vintage Auto Parts,2021-10-19 03:04:08,nan,nan,nan
203,Turns Email Off,2,False,turns email off. unable to reach people through email because email string is to old. very frustrating!!! terrible app for electronic messaging.,bbtaz170,2022-04-23 13:17:21,nan,nan,nan
204,Incredible!,5,False,incredible! just getting started and the mayo app is amazing!!,Trish Irene,2021-05-03 13:36:28,nan,nan,nan
205,Navigation is less user friendly,2,False,navigation is less user friendly. i find this new version is difficult to navigate,my mayo az,2020-12-15 00:31:52,nan,nan,nan
206,Wonderful app,5,False,"wonderful app. everything you do, you do so well! thank you mayo!",marianayanev,2019-09-22 18:20:51,nan,nan,nan
207,How to close app,3,False,how to close app. the new app looks more like an app for articles than my health information.   how do you close the app. can’t find the log off button.   cordell,palms2,2018-06-12 02:42:28,"palms2, the sign out button can be found in Profile > Settings > Sign out.  No need to sign out though - all of your data is secure. In the next release we’ll be making this simpler for patients.

The updated Mayo Clinic app includes content for everyone.  Patients have access to all of the patient features you’ve become used to.  But we’ve also included health articles and a search capability to provide a wide range of health information from Mayo Clinic.

Feel free to drop us a note any time with other suggestions or feedback. Our email is mcmobileapps@mayo.edu.  Thank you.",3930846.0,2018-06-21T19:40:59Z
208,One great App - Mayo Jacksonville,5,False,"one great app - mayo jacksonville. this is one, if not the best app, i use! i would rate it six to ten stars, but the ratings only go to 5.",peyre68duke,2018-06-23 01:02:55,🙌 🎉 🎊 😎 Awesome!  Thanks!  If you think of anything we can do better - feel free to drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4061863.0,2018-07-02T18:42:18Z
209,Constant errors,1,False,constant errors. the app went down 3 times yesterday and down again today. kinda hard to check on my appointments and test results when your app keeps failing,Tmouse8475,2020-09-29 19:21:08,nan,nan,nan
