text	factuality
I'm fine.	NOT_LABELED
I've just finished radiation treatment and are getting over residual fatigue.	EXPERIENCE
Just be vigilant about your breast (without making it worse) and discuss any concerns you have with your doctor.	OPINION
J.	NOT_LABELED
A related discussion,  was started.	NOT_LABELED
Hello.	NOT_LABELED
I am having the same problem.	EXPERIENCE
My wound is still open after 5 weeks.	EXPERIENCE
I have to and see surgeon on Monday and likely have it packed and changed daily she said.	EXPERIENCE
This *****!!!	NOT_LABELED
My radiation has been delayed by several weeks they said until healed.	EXPERIENCE
My question is, does it hurt to have packing.	FACT
I have never had it before and am a little overwhelmed.	EXPERIENCE
This is a very old thread.	FACT
I would suggest you start your own new thread.	OPINION
If you describe the details of your situation and ask your questions there, you will be more likely to get answers addressed specifically to you and your concerns.	OPINION
Best wishes.	NOT_LABELED
Radiation does delay healing so that's why you are being delayed for that part of your treatment.	FACT
As far as the packing is concerned, if the area isn't painful at the present then I doubt that it will be terribly uncomfortable.	OPINION
I have had a couple of areas that required packing and I had no pain but it was not in the same area as yours.	EXPERIENCE
The amount of discomfort with the packing and removing it daily would also depend on the depth of the wound.	FACT
Here's hoping it will be effective and not cause you very much discomfort.	OPINION
Hang in there, these things do happen now and then but they can be overcome with a little extra time.	OPINION
Kindest regards ....	NOT_LABELED
I had a 3D mammo because of a large mass in my right breast.	EXPERIENCE
I was told a 3D is much more accurate than a standard mammo.	EXPERIENCE
Nobody would tell me the result of this but now they say I need an ultrasound.	EXPERIENCE
If the 3D is so accurate why would they need an ultrasound?	FACT
That means cancer,right?	OPINION
Nobody willtellme anything and I amso scared.	OPINION
I am so sorry you aren't getting clear answers.	OPINION
My doctor pretty much told me from me 2nd mammo (6 month follow up) and u/s that they believed I had cancer.	EXPERIENCE
And another told me the same thing before my biopsy.	EXPERIENCE
I believe there is a truth in the saying ""No news is good news"".	OPINION
I know it's hard, and nerve wracking, and Damn Scary!	OPINION
But, you can handle this!	OPINION
Maybe take a family member or friend with you to your appts to take notes.	OPINION
That's what I did.	EXPERIENCE
And seriously, I would read the notes taken the next day and not remember 3/4 of what was written, or I would remember things completely different then what was actually said.	EXPERIENCE
Your head is spinning...	EXPERIENCE
you are scared!	EXPERIENCE
I hope you get answers soon!!!	OPINION
Hang in there!	NOT_LABELED
I believe I addressed your concerns in my response to your post of July 14th.	OPINION
At that time I mentioned that Mammogram and Ultrasound were sometimes necessary to determine the nature of any finding in the breast.	FACT
You need to speak to your Dr. for answers regarding your concerns and I believe I advised this also in my previous response.	OPINION
You evidently have been told quite a lot here as well as from your Dr. and the Radiologist that read your films.	OPINION
Please speak to the Dr.,or his/her Nurse who ordered your tests.	OPINION
They have all your information and know the answers and will be more than happy to explain things to you.	OPINION
As I stated before Cancer cannot be determined until a biopsy is done so be patient and take things one step at a time and ASK questions of the Professionals who are treating you.	OPINION
Kindest regards ....	NOT_LABELED
I am terrified and confused and cannot remember the many,many things I have been told in the last few days and that includes posts here.	EXPERIENCE
But you are wrong -- no one has been ""more than happy"" to explain things.	EXPERIENCE
The medical professionals have not been forthcoming, they have been elusive and reluctant which leads me to believe they are hiding something very bad.	EXPERIENCE
I'm sorry but there is no way that we or your Dr.s can make you remember what you have been told about these circumstances.	OPINION
Perhaps you could ask you family Dr. for some type of medication that would help in calming these fears that you seem to have about cancer.	OPINION
I will try one more time to assure you that the Dr.s certainly are NOT trying to hide anything from you ...	OPINION
why in world would they do that ??	FACT
For the third time I will say that there are no answers until all your tests have been completed and only a biopsy can diagnose cancer .... not size nor how something looks on film.	OPINION
It also might help if you would call your Dr..s office and ask for a copy of the reports on the tests that have been done so far.	OPINION
At the bottom of the page there is always an ""opinion"" as well as some recommendation as to what should be done next.	FACT
I would also like to ask if in the future you have more questions, you would add them to the same post so that all your information is together.	FACT
It makes it much easier for us to get the compete picture and would even be a help to you to be able to read what you have ask as well as our answers since you say you have trouble remembering what you're being told.	FACT
Call you Dr. .... ask the Nurse ...	OPINION
read the reports or better yet have them read and explained to you but don't expect answers before there are answers.	OPINION
Every test that is done has a different purpose and they are always used in combination to get an accurate conclusion.	FACT
Regards .....	NOT_LABELED
I am so sorry you aren't getting clear answers.	OPINION
My doctor pretty much told me from me 2nd mammo (6 month follow up) and u/s that they believed I had cancer.	EXPERIENCE
And another told me the same thing before my biopsy.	EXPERIENCE
I believe there is a truth in the saying ""No news is good news"".	OPINION
I know it's hard, and nerve wracking, and Damn Scary!	OPINION
But, you can handle this!	OPINION
Maybe take a family member or friend with you to your appts to take notes.	OPINION
That's what I did.	EXPERIENCE
And seriously, I would read the notes taken the next day and not remember 3/4 of what was written, or I would remember things completely different then what was actually said.	EXPERIENCE
Your head is spinning...	EXPERIENCE
you are scared!	EXPERIENCE
I hope you get answers soon!!!	OPINION
Hang in there!	NOT_LABELED
Checking to see if you have had your ultrasound yet??	FACT
After a clear mammogram and ultrasound, I was sent for an Mri because of family history.	EXPERIENCE
A suspicious 1cm mass popped and now I need a biopsy.	EXPERIENCE
Should I be terrified?	OPINION
Too late�I am..help.	OPINION
This discussion is related to.	NOT_LABELED
I see no reason to panic at this point.	OPINION
MRI is a much more sensitive type of test and can often show things that other tests do not.	FACT
A biopsy of course is the only sure way to diagnose what this mass represents.	FACT
It could be a Fibroadenoma which is a benign breast tumor.	OPINION
I would be surprised that a mass of this size representing cancer would not have shown up on either the Mammogram or Ultrasound.	OPINION
Proceed with the recommended biopsy which will define more accurately what you're dealing with.	OPINION
Being terrified never helps and usually tends to cloud your vision as well as your thoughts.	OPINION
I imagine that you are seeing a Breast Specialist but if not this is something that you need to arrange.	OPINION
Family history accounts for a very small percentage of diagnosed cases of Breast Cancer even though it is a risk factor.	FACT
Regards .....	NOT_LABELED
Thanks so much for helping me down off of the ledge.	NOT_LABELED
It has become all consuming.	OPINION
Biopsy is on Thursday.	FACT
Wish me luck!	NOT_LABELED
You're more than welcome .... it's scary up there on the ledge :) Luck, Wishes and Prayers are with you from all of us here.	OPINION
We know how it is but whatever it is we always seem to be able to handle it.	OPINION
Let us know when you get your results.... Regards.	FACT
It has Been a while since I have logged on.	FACT
The mass was triple negative cancer.	EXPERIENCE
I had a lumpectomy lAst week.	EXPERIENCE
It was a 1 cm mass with clear margins and no nodes involved..	EXPERIENCE
Thank God !	NOT_LABELED
Still need chemo though.ugh!	EXPERIENCE
Meeting with the oncologist next week.	FACT
I was not so afraid of the surgery, it is the thought of chemo that is flipping me out!	EXPERIENCE
Any thoughts or words of advice?	FACT
Thanks for the update .... sounds as though you have done well so far and it's a GREAT thing that nodes were not involved.	OPINION
As far as the Chemo goes, it's hard to say.	OPINION
Everyone and their response to the drugs is so varied you'll just have to wait and see .... great advice, right ??	OPINION
Seriously, some women can breeze through it with little or no problem and others have adverse reactions.	FACT
Keep positive thoughts and don't go looking for ""what might occur"" and don't hesitate to make clear any problems you may have.	OPINION
The Oncology team will have many things that will help with or counteract any side effects that you experience.	FACT
Don't keep it to yourself; make it known if you have a problem of any kind.	OPINION
Wishing you a good experience during your treatment .... you can do it, I know you can !!	OPINION
Take care and keep us posted when you have the time.	OPINION
Kindest regards ....	NOT_LABELED
Trying g to keep positive, but it is quite hard at times.	EXPERIENCE
Do you think I'll be needing a petscan before chemo?	FACT
Breast doc says no.	FACT
We will see what the oncologist says.	FACT
I am really not up for any more scans at this point.	EXPERIENCE
Just want to deal with the matter at hand and get it over with.	FACT
Maybe and maybe not ..... Oncologists all have their routine before, during and after treatment so it's really up to him/her.	FACT
Considering all the other issues one more scan would be far down on the worry list.	OPINION
I'm sure you will be having them after treatment and perhaps routinely for a period of time.	OPINION
Usually there are yearly check-ups with Onc. or possibly 6 months at first when you have finished treatment.	FACT
Some Oncologists see patients for a couple of years and some will see the patient as long as the patient wishes.	FACT
It's a very individual thing with the Oncologists.	FACT
Just hang in there; you know it won't be over in a moment .... all things take time and we all have a problem being patient when it comes to WAITING.	OPINION
Do you best, you've done a SUPER job so far; don't spoil your record .... Take care now.	OPINION
Thanks for the kind words.	NOT_LABELED
Is 3 weeks post op a long time before seeing the oncologist?	FACT
I'm hearing no because you need time to heal.	FACT
WAiting and being anxious really *****!	EXPERIENCE
No, not at all .... healing is a complicated process in the tissues below the surface.	FACT
There will seem to be no end to the ""waiting"" but it's all a learning experience.	OPINION
After all is said and done you will be a much more patient person ..... hopefully :) .	OPINION
take care .....	NOT_LABELED
Hi everyone, I'm so anxious at the moment.	EXPERIENCE
I'm having nightmares and not sleeping well.	EXPERIENCE
I had an ultrasound which showed: 7x3x7 mm breast lesion 2cm from nipple.	EXPERIENCE
Hypoechoic with some through transmission.	EXPERIENCE
Small echogenic foci are identified within.	EXPERIENCE
No vasculariry or architectural distortion.	EXPERIENCE
It may represent a fibroadenoma however there does appear to be some tapering suggesting ductal in origin.	EXPERIENCE
How likely is this to be cancer?	FACT
I'm seeing specialist on tuedsay.	FACT
The report says it suggest a a biopsy.	FACT
I have a 2 year old son and I breast fed him for 1.5 years.	EXPERIENCE
I thought this would have been protective.	OPINION
I'm really after some support and some insight as to how likely this is something nasty.I actually went in to see my doctor as I had other lumps which just turned out to be benign glandular tissue- just part of my breast anatomy and then they found this unexpected lesion :-( Joanne.	EXPERIENCE
Hi, Please try not to panic!	NOT_LABELED
Most breast lesions are not cancerous.	FACT
A variety of benign breast lumps like fibroadenoma or cysts do appear suspicious on x-rays sometimes,but it's nothing more than that.	FACT
The fact that the report states that no vasculariry (blood flow)or architectural distortion is present,it's a good sign!	FACT
Most biopsy are recommended just to make sure and it's an excellent medical procedure to obtain a correct diagnosis!	FACT
Try not to worry....Hopefully this is nothing to be concerned about.	OPINION
Wishing you all the best!	NOT_LABELED
Thanks zouzi.	NOT_LABELED
I don't think it's a cyst because it's not clear, has calcifications in it :/ that's what the radiologist said to me.	OPINION
And it has some tapering so not a nice well circumcised lesion, all risk factors for malignancy from what I have read.	EXPERIENCE
I feel too young to have cancer.	OPINION
But then I've read that it can happen any age.	EXPERIENCE
You are welcome Joanne, I don't think it's a cyst either,I just mentioned that some cysts could also look suspicious	OPINION
What you have is most probably a Fibroadenoma which is a solid lump that needs to be biopsied to make sure that in fact it is a benign lesion,which could also present with calcification and not well circumcised .	OPINION
Many breast lumps that need to be investigated are not necessarily malignant but the only way to make sure is to have a biopsy.	FACT
Hoping that all turns out fine for you!	NOT_LABELED
:)  .	NOT_LABELED
There's just so many stories of young women who are fighting this that I've read about in the last week on the internet.	FACT
It's make things seem more probable.	OPINION
Whatever the result, this experience has made me realise that I need to change the way I live And live a bit more for today.	EXPERIENCE
I have never felt so anxious or scared in my life.	EXPERIENCE
I'll never take my life for granted again.	FACT
I'm amazed at how muh this has changed me.	EXPERIENCE
Yes,I know that the possibility of ""breast cancer"" can cause a lot of stress and anxiety,but remember that reading stories over the internet about women with BC is not necessarily related to your situation at all,since you haven't been diagnosed with anything yet.	OPINION
Try your best to stay calm and don't let your mind be filled with negative thoughts.	OPINION
Keep in mind that many breast lumps are not cancerous,even suspicious ones...and I hope the same for you too.	OPINION
Please let us know when you receive your biopsy results and lets hope for a favorable outcome.	OPINION
Take care..	NOT_LABELED
Ok I'll let you know.	NOT_LABELED
I just had a look to the sonographers report and she wrote cystic and solid components present with calcifications.	EXPERIENCE
That's a good thing right?	OPINION
I am sure that your Doctor can explain to you in details your complete Ultrasound report.	OPINION
In your first post,you mentioned that the Radiologist stated that the lump may represent a Fibroadenoma but now you say that it's a cyst containing solid components.All I can tell you is that breast cysts can be classified as either simple or complex cysts.	FACT
Simple Cysts (fluid filled sacs) have virtually no chance of containing malignancy.	FACT
However,complicated cysts are a little more concerning.	FACT
They are also fluid filled sacs but contain some solid material (debris).	FACT
Usually complicated cysts are aspirated and have the cells examined to better evaluate the nature of the cyst and the majority will results in benign findings when biopsied.	FACT
I am sorry if I cannot help you more,but I would advise you to visit your Doctor concerning your Ultrasound results,because he/she would be your best source of information.	OPINION
Ok thanks.	NOT_LABELED
Yeah what's happened is I have a copy of what the sonographer wrote, and the final report of what the radiologist wrote.	FACT
This is where there are different descriptions.	FACT
Sonopgrapher wrote cystic and solid components but the final report has what I wrote originally.	FACT
Even I'm confused as to who is correct!	FACT
I just responded to your private message.	FACT
What are the chances treating this type of cancer with radiation only?	FACT
Does the statistics change any and if so, can you tell me the percentage!	FACT
Hi. Invasive ductal carcinoma cannot be cured by radiation alone.	FACT
At the very least, a mastectomy or lumpectomy (surgery removing a part of the breast along with the tumor) should be done.	FACT
If the tumor is small (less than or equal to 0.5 cm) and no tumor spread to the axillary nodes was found, then radiation treatment after the surgery may suffice.	FACT
But a larger tumor or metastases to the axillary nodes will require the addition of either chemotherapy or hormonal treatment, or both.	FACT
I recently under went a lumpectomy in July, I also has lymph nodes involved.	EXPERIENCE
The tumors were removed, my margins came back clear.	EXPERIENCE
I don't want to go through chemotherapy, I am willing to do radiation along with hepercin will this help me at all?	FACT
I think what the doctor is trying to tell you is that surgery in your case is necessary, and which you now say you had.	OPINION
He also said that especially if lymph nodes are involved, chemotherapy is highly recommended and the right way to go in your case.	OPINION
It will not guarantee that you will live forever but it will increase your chances of living longer.	FACT
I do understand what you are saying, after all mt tests from the muga scan to the mri bone scat and cat scan.	FACT
Blood work and so on, after all the tests came back would the doctors know if the cance has spresd to other area outside of my lymph nodes?	FACT
Hi.	NOT_LABELED
If the cancer has been found in the lymph nodes, there is a significant probability that there is already microscopic spread to other areas of the body.	FACT
This microscopic spread may not be easily detected by conventional imaging procedures.	FACT
So even if the initial tests were negative for distant metastases, if the lymph nodes are already involved, it is imperative to do some additional treatment like chemotherapy, since we are not sure that the negative results are totally reliable.	FACT
Is there a time lime to have chemotherapy?	FACT
, right now I am unable to have the chemotherapy due to financial reason.	FACT
I am not counting it out all together maybe sometime next year?	FACT
This is what I have been told.	EXPERIENCE
When you are first diagnosed, a team of doctors set up your treatment plan.	FACT
(or a doctor/doctors talk about what they think is the best thing to do in any particular case for the best possible outcome and prevention of reoccurrence).	FACT
Then , if the patient agrees to this, you go ahead with it.	FACT
If you do, then the initial treatments are really the most important of all the treatment, as the goal is to wipe out whatever cancer there is and may be lurking the very first time.	FACT
If you decide to do chemo a year or so later, this will no longer be part of the initially recommended treatment that according to the doctor's best judgement has the highest chance of working in your best interest.	FACT
Radiation will certainly help with reoccurrence, and it will attack whatever may have spread outside of the surgical area that was removed.	FACT
But as the doctor above explains, with positive lymph nodes there is a chance that the cancer has spread, and in half of the cases those lesions are so tiny that they won't show up on a bone scan or other test.	FACT
So, this is why chemotherapy is utilized to make sure that if this spread is there it is wiped out by chemo immediately, because after the first chance the cancer will only spread and grow.	FACT
(I mean even with radiation, it will grow outside of the radiation area).	FACT
Radiation is local treatment just like surgery, and chemo is systemic.	FACT
So is tamoxifen but it's not indicated in your case.	FACT
Do not put off chemo because of financial reasons.	OPINION
There are breast cancer advocate organizations that can help you get treatment.	FACT
I think one of them is called youcanthrive.org, or something close to that.	OPINION
Find an advocate and get the treatment you need.	FACT
Your LIFE is more important than financial considerations.	OPINION
NOBODY in this country should have to risk recurrence of a life threatening disease because they can't afford treatment.	OPINION
I had Stage 3 Invasive Ductal Carcinoma in 09.	EXPERIENCE
Treatment included 2 lumpectomies, chemotherapy and radiation.	EXPERIENCE
When cancer reaches your lymph nodes, you have no idea where the cancer cells have traveled through your body, therefore chemotherapy treatment is necessary.	FACT
Do you know of any more of the advocate and financial support groups?	FACT
Thank you.	NOT_LABELED
4 1/2 years ago my mother has a cancerous lump taken out of her breast.	EXPERIENCE
SHE DID NO TREATMENTs.	EXPERIENCE
About a year ago she found another lump in the same breast but this time on the outside.	EXPERIENCE
She found a doctor that has been treating it.	EXPERIENCE
we thought it was getting better.	EXPERIENCE
Just a couple of months ago the same doctor who is in another state where we live ordered a bone scan her at home.	EXPERIENCE
The results according to this doctor weren't good.	EXPERIENCE
He said there was nothing else he could do.	EXPERIENCE
We found a cancer doctor here at home.	EXPERIENCE
It is now in her lymph notes under her arm and in her chest and she also has another lump in the same breast inside again.	EXPERIENCE
It has been growing since her surgery 4 1/2 years ago.	EXPERIENCE
This doctor said it is not in any of her organs .	EXPERIENCE
All the natural stuff my mom was taking saved her organs.	EXPERIENCE
It is in her bones now.	EXPERIENCE
The doctor here will have them in a week.	EXPERIENCE
It only will be than that he will know what bones and how many the cancer is now in.	EXPERIENCE
Is it true once it reaches the bones it is stage 4?	OPINION
What can we expect, She also starts chemo in one week.	EXPERIENCE
I'm so sorry to learn of your Mother's present condition.	OPINION
Evidently she received very poor medical care when her first cancer was discovered.	OPINION
The fact that she now has metastisis to the bone isn't the main issue as bone mets is quite easliy managed.	OPINION
The lymph node involvement is the problem to be addressed first.	OPINION
I truly hope that you are being treated by an Oncologist and that she will not refuse whatever treatment that is recommended.	OPINION
The only proven treatment for cancer at any stage is a combination of Chemotherapy, Radiation and possible Hormone Therapy following the appropriate surgery at the time the cancer is first discovered.	OPINION
As far as prognosis at this point; that would be something you should discuss with your Mother's Oncologist as he/she has all the necessary information regarding the cancer.	OPINION
Kindest regards ...	NOT_LABELED
So sorry to learn of your mother's health.... The first doctor apparently did not do his job aty all.	OPINION
By all means, seek the assistance of a good oncologist -- but listen to his/her recommendations.	OPINION
They will almost always without a doubt recommend the chemotherapy protocol, which has NOT been proven to help the majority of those receiving it (less than 15%).	OPINION
Remember one thing -- and that is an oncologist job is to educate and inform patients only of what they are taught and told to relate to patients.	OPINION
Please do your research for your mother -- it can save her life and give her peace of mind as well as quality of life.	OPINION
My prayers are with you.	NOT_LABELED
I've only gotten 2 responses to my post which either tell me there is something someone does't want to tell me or my concerns aren't enough.	EXPERIENCE
Thanks for nothing.	NOT_LABELED
I am so sorry to hear about your mother's health.	NOT_LABELED
I can certainly appreciate your concern and your wish to get concrete answers.	OPINION
I am in a similar position having been recently diagnosed with metastases to the bones.	EXPERIENCE
From what I understand this means that the cancer is in stage IV.	EXPERIENCE
Information on the computer suggests that mets to the bone and not to the vital organs are considered the ""best"".	FACT
My doctor said that she has seen a few patients live for 10 years in this condition.	EXPERIENCE
The danger is that the cancer will move to vital organs.	FACT
If you look on the computer the statistics for life with metastatic cancer are grim (2-3yrs) I have been assured that life expectancy can be much longer if the cancer can be stabilized.	EXPERIENCE
I am hoping that this will be true for me and I definitely hope that this will be true for your mother.	OPINION
I hope that this is somewhat helpful.	OPINION
I don't think any one, cancer patient or oncologist, is quick to put a life expectancy in absolute terms.	OPINION
I do understand, however, the wish to have certainty in such a vulnerable situation.	OPINION
Best wishes, jonji.	NOT_LABELED
I'm sorry you felt that your concerns were not answered.	NOT_LABELED
I re-read your original post and found the only question to be ""was bone mets considered Stage 4"" ..	FACT
Obviously your mother either refused treatment when she was first diagnosed and this is certainly the main reaosn for the recurrance.	FACT
Natural remedies DO NOT prevent or cure breast cancer.	FACT
As I mentioned before, bone mets can be managed quite well and there are many Stage IV women who alive and living with the bone mets.	FACT
If you would like some information from some of those Stage IV survivors you might visit the following website which is a discussion group and there are some amazing women there who are more than willing to share their experiences as Stage IV Survivors.	FACT
Your Mother's Oncologist remains the best source of information regarding her particular case.	FACT
Check out this website though if you have time: bcsupport.org.	FACT
I thought you answered her question very well� and I read most all of your replies which are great.	OPINION
You are very knowledgable and helpful to this board.	OPINION
But I can't help but ask�	FACT
why did I get kicked off this board when I gave one woman a website to go too?	FACT
She had a very aggressive type of breast cancer� the type I have which is ""Her2/neu"".	EXPERIENCE
She was in a panic and very upset and was getting no replies.	EXPERIENCE
(And believe me when your 1st dx with bc...its urgent that someone answer you asap because you are scared to death!)	EXPERIENCE
So I tried to help her and replied the best I can because I know quite a bit about Her2 bc.	EXPERIENCE
And ""one"" part of my reply to her was a message board that is JUST for ""Her2/neu"".	EXPERIENCE
The board I told her about is up to date on everything Her2 related.	EXPERIENCE
They have all the clinical trials...can direct you to the best doctors that understand this type of cancer and every new treatment that's out to fight it.	EXPERIENCE
So I very nicely said please check out this website and the woman here will be very supportive and can answer all your questions about Her2.	EXPERIENCE
She was very apperciative and has recieved so much help once she went to the Her2 board I told her about.	EXPERIENCE
But the minute I did that I immediately got a PM from MedHelp telling me I was no longer to post here and they removed my user name.	EXPERIENCE
(Something to that affect) .	EXPERIENCE
They didn't even give me a chance.	EXPERIENCE
Here I was spending my valuable time trying to help these scared woman since I've been in their shoes...	EXPERIENCE
and I get kicked off the board for being NICE.	EXPERIENCE
(What's up with that?)	OPINION
They could at least warn a person NICELY and say the rules of the board and not to post OTHER websites or you will be expelled premanetly.	OPINION
But no...they ""weren't"" nice about it at all.	EXPERIENCE
I even wrote them back to explain the same thing I'm tell you but they did NOT care and rather I just go away.	EXPERIENCE
There are NOT very many people here to answer questions...	FACT
so why they would chase someone like me away that is honestly trying to help someone is beyond me.	OPINION
(I don't post or reply often now since they did that).	FACT
I waited about a month and decided to sign up under another name in order to help these poor woman that need answers.	EXPERIENCE
But I'm still upset the way I was treated.	EXPERIENCE
I've been on alot of message boards over the last 25 yrs and I've never been treated like that.	EXPERIENCE
You just posted another website in order to help this person that was very distressed and upset which I think was VERY KIND of you and approperiate considering her circumstances.	OPINION
So I'm just curious why they were so quick to kick me off even when I APOLOGIZED for giving this girl the name of a website?	OPINION
I was ""not"" spamming the board with websites...and thats how I was treated for offering ONE girl one website for a very aggressive type of cancer.	EXPERIENCE
I just don't get it.	FACT
(Had I known it was breaking a RULE or something...I would of gladly PM'd her the website)	FACT
They did not kick you off this board for handing out another website for this person?	FACT
Just me.	NOT_LABELED
I see nothing wrong with someone helping another.	OPINION
I will probably get kicked off for this one too...just watch.	OPINION
If this board has rules�everyone should have to follow them�	FACT
why did they just single me out?	OPINION
I'm usually one 3 boards to help others... and occasionally someone will post a special board thats only for stage IV, or Metsters, Her2/neu, lung cancer, etc...and no one gets kicked of any of those board for trying to direct someone to find help for their situation.	EXPERIENCE
It's always bothered me that Medhelp jumped on me like that.	OPINION
I was brand new here and trying to help all the newly dx...so much for that.	EXPERIENCE
Hasn't medhelp heard of warnings or telling someone thats not allowed verses just KICK them off the board for good.	OPINION
Sorry...ticks me off.	OPINION
That wasn't fair.	OPINION
I'm WAS a stage IIIA, Her2/neu, 3+++ survivor which was just dx stage IV last week.	EXPERIENCE
My time is valuable to me�important.	OPINION
I just LIKE to HELP people� not cause problems or hurt anyone.	OPINION
I just didn't like that way I was treated.	OPINION
Now I see you post a website and thats ok...but its not for me.	OPINION
Medhelp should only have one set of rules...not a double standard.	OPINION
And believe me...this post is with ALL DUE RESPECT for you.	OPINION
You do good work here!:)	OPINION
I guess I've been holding this in a long time and life is SHORT...well it will be for me�so I wanted to get this out.	OPINION
They can always delete this and kick me off again.	FACT
Whatever works for them.	FACT
Its no loss to me if they kick me off again...only to the people posting here that lose.	FACT
Keep up the ""great"" work Japdip...	OPINION
your are fast to respond to everyones questions and that alone is very important.	OPINION
When dx with bc...the answers can't come fast enough.	FACT
Waiting is the hardest part for us.	NOT_LABELED
Peace...	NOT_LABELED
take care.	NOT_LABELED
Keep up the good work.	NOT_LABELED
Rinda.	NOT_LABELED
I am so sorry you got another diagnosis of cancer.	OPINION
I am sending prayers your way that you get the correct treatment and that you recover again.	OPINION
And I'm sorry you've had a tough time posting.	OPINION
I value your posts and I believe other women do as well.	OPINION
I ran into the same issue and I was fortunate to get a moderator who allowed me to explain why I post about BRCA and use a certain website for women to get more information.	EXPERIENCE
I was given an opportunity to share all of the research available there and they saw that it was of value to the people who visit medhelp.	EXPERIENCE
Apparently it's against their terms of service, something about competing sites.	FACT
I do understand why you would offer that website to someone desperate for information and I know your heart is in the right place.	OPINION
We advocate for women with breast cancer.	FACT
We try to help however we can.	FACT
Even if it's just a cyber hug.	FACT
(You may want to check into the PARP inhibitor studies going on right now for metastatic breast cancer).	OPINION
My thoughts and prayers are with you.	NOT_LABELED
Best wishes.	NOT_LABELED
Just wanted to pipe in and say I am so glad you are active on this Web site and that I have gotten gotten a lot out of your posts!	OPINION
(I know from personal experience that the rules are applied very unevenly)	OPINION
I am sorry that you are now in Stage 4.	OPINION
My thoughts and prayers are with you.	NOT_LABELED
Best wishes....	NOT_LABELED
hi i am new to this website and responding but just had to with yours i had BC diagnosed 2006, bone mets stage 1V in june 2008, i have oestrogen receptive bc and was put on letrozole, i have jsut had a bone scan and have a few more bone mets adn so have changed to another aromatase inhibitor but hey thats 3 yrs and i have been great so fingers crossed heres to another 3 yrs before i have to change drugs again.	EXPERIENCE
so keep positive xx .	OPINION
I'm a 31 year old stage 4 breast cancer patient, currently in chemotherapy.	EXPERIENCE
I've had severe postoperative pain from the mastectomy I had almost three years ago which my doctor has been treating with a steadily escalating series of opiate drugs: vicodin, then norco, then oxycodone...	EXPERIENCE
now she wants me to start the Fentanyl patch, and I'm a little scared of it.	EXPERIENCE
It seems so serious (like something you only take if you're...y'know�close to death!Which I'm not!)	EXPERIENCE
And it scares me that so many people seem to become so addicted to it, and I'm scared that I'll be too tired to be responsible, raise my three year old son, etc...	OPINION
My doctor answered all the questions I asked of course but I have to admit I didn't press too hard because I didn't want her to think I was afraid of becoming an addict...	EXPERIENCE
I mean, I still need help with this ****amn pain in my (ex) breast...	FACT
it just seems like once I start this patch, there's no going back!	OPINION
Does anybody have any positive experience with the Fentanyl patch?	FACT
Did anybody use it for pain and then...get off of it one day?	FACT
Did it keep you from normal day-to-day responsibilities?	FACT
I'm just a little nervous.	EXPERIENCE
Thanks.	NOT_LABELED
absolutly DO NOT TAKE FENTYNAL PATCHES!	OPINION
i am 36 years old and i had breast cancer to they gave me fentynal.	EXPERIENCE
i regret ever taking it it has ruined my life!	EXPERIENCE
Jessie: What happened, if you don't mind my asking?	FACT
Did you become addicted to the fentanyl?	FACT
Would something else have been better for the postop chronic pain?	FACT
I hope your cancer is in remission, by the way--- this all *****.	OPINION
I'm scared of pain, scared of my cancer, scared of being too involved with pain meds to be a good mom...	EXPERIENCE
I'm scared of a lot these days...	EXPERIENCE
Emily.	NOT_LABELED
DO NOT TAKE!	OPINION
This drug is really only meant for the terminally ill!	FACT
Its the most horrible pain medicine to come off of.	OPINION
I was not addicted to it and had no idea I was going on the strongest pain medicine in the world.	EXPERIENCE
It is 100x stronger than morphine and 50 x stronger than herion.	FACT
It causes all kinds of side effects.	FACT
I had a friend on it for 3 weeks and she wanted to die when she was tapering off of it.	EXPERIENCE
This drug is hell and is not worth it.	OPINION
Stay away!	OPINION
You will thank me!	OPINION
I had to learn the HARD way!	EXPERIENCE
Wow�so sorry to hear all this.	NOT_LABELED
I am tapering off Oxycodones and even though it has been tough, I am sticking to my schedule and doing well.	EXPERIENCE
I would definetly do all the research you can on your own before taking anything like this for pain.	OPINION
Just like jessie and shellbell said, these drugs can and will ruin your life.	OPINION
I don't think Doctors really understand how easily a person can go from taking these meds as prescribed to getting way out of control with them.	OPINION
A few years ago, a friend of my brothers was given Fentanyl patches for his back after a botched surgery.	EXPERIENCE
At the time, he was only 32...	EXPERIENCE
Within a few months, he was taken off them and started into withdrawal....and within a couple days after that, he was in Intensive Care at the Hospital....yep...	EXPERIENCE
he almost died from w/d.	EXPERIENCE
They had to put him back on it and tried to taper him off them slowly....but he ended up getting so sick and desperate, he started seeking out street drugs.	EXPERIENCE
He lost his job, his wife left and took the kids, he lost his home and vehicle...	EXPERIENCE
everything.	NOT_LABELED
This only took less than a year because of his need for the drugs....and he ultimately committed suicide....	EXPERIENCE
it was a tough loss for everyone.	EXPERIENCE
It is devastating what these types of medicines can do.	OPINION
I have read so many stories that reflect how I was about the medicines.	EXPERIENCE
I was ""dumb"" about them and never really did any real research on how they work or what they do....once I did discover this, I knew I had to get off them...	EXPERIENCE
but fear kept me from trying.	EXPERIENCE
It wasn't until a few months ago that I really started talking to my Doctor about wanting to get off them and now I am really glad I did....	EXPERIENCE
I hope we caught it before it had a chance to get totally out of control...but I will say it was becomming a real problem.	EXPERIENCE
