text	polarity
Does that mean I am suddenly now allergic to Shellfish?	NEUTRAL
I am scared of worse symptoms next time, but I absolutely love my fish and Oysters.	NEGATIVE
What should I do to make sure that this is an allergy?	NEUTRAL
Sorry to hear that.	NOT_LABELED
Folks' allergies can change every five years, so, this is probably the case with you.	NEUTRAL
Hopefully, one day, this will pass and you will be able to eat these foods again.	POSITIVE
I had a suspicion as I was reading your post that you had shellfish allergies due to your intolerance of the iodine bath they gave you before your surgery, this is a dead give-away normally.	NEUTRAL
hi, I'm not really sure if it's an shellfish allergy.	NEUTRAL
I guess it could be a histamine intolerance.	NEUTRAL
But try it out and eat some tomatos, if you get the same symptoms you should go to your allergist and make an blood test.	NEUTRAL
You have to know that I'm histamine intolerant.	NEUTRAL
I got the symptoms like headache and this weird feeling in my throat.	NEGATIVE
But I bought Daosin on the internet.	NEUTRAL
It basicly avoids my allergic reaction and I can eat everything.	NEUTRAL
You may ask why you should eat tomatos, but tomatos are histamine rich as same as fish.	NEUTRAL
:) hope you'll feel better soon!	POSITIVE
Hi there, Thanks for the response.	NEUTRAL
I eat tomato with most meals and have never had issues.	NEUTRAL
About 5 years ago, I had an operation and was covered with the anti-bacterial stuff (think Betadine?) and the next day I had a huge rash all over the area!	NEGATIVE
I was then told that I am allergic to Iodine and that I should avoid fish as it is high in Iodine - especially Salmon.	NEUTRAL
My diet is rich in fish and until 2 weeks ago, I had no reaction from Oysters or salmon, etc.	NEUTRAL
Could it be that my body is just acting out now and that I should avoid anything fishy?	NEUTRAL
I still have the hives in my neck and it is driving me nuts!	NEGATIVE
How long will it take to go away?	NEUTRAL
Hi, I am now on Prednisone for 5 days and some cream.	NEUTRAL
Fish and Shellfish allergy and I am really bummed as I love fish!	NEGATIVE
Sorry to hear that.	NEGATIVE
Folks' allergies can change every five years, so, this is probably the case with you.	NEUTRAL
Hopefully, one day, this will pass and you will be able to eat these foods again.	POSITIVE
I had a suspicion as I was reading your post that you had shellfish allergies due to your intolerance of the iodine bath they gave you before your surgery, this is a dead give-away normally.	NEUTRAL
Thanks :)	POSITIVE
I am now staying away from all fish and shellfish and have my suspicion that it was the 2 oysters that I ate.	NEUTRAL
I only took Prednisone for 2 days.	NEUTRAL
Hate all the side effects from this medication and still use the cortisone-cream on my neck as I can still feel the hives in that area.	NEGATIVE
I am going to give it about 2 months and then with Epi-pen handy, I'll try Oysters again.	NEUTRAL
Thanks for your help!	POSITIVE
Hi there, I avoided all seafood and shellfish and a few days later, a new rash and hives appeared!	NEGATIVE
I am back on the Prednisone and very frustrated.	NEGATIVE
I have a referral to see an Allergist end of May.	NEUTRAL
Now I'm just completely at a lost what is causing this.	NEGATIVE
Sounds like the start to my 5 year long mystery experience.	NEGATIVE
I think others have mentioned, and not too sure if you have done so but I highly recommend the allergen blood panel testing.	POSITIVE
I have recently discovered that not only am I allergic to nightshade veggies (tomatoes and peppers were a lifelong part of my daily diet).	NEUTRAL
This is on top of my damming intolerance to gluten.	NEUTRAL
All of this came on suddenly with me and won't show up on a basic overall basic heath blood test.	NEUTRAL
As for the prednisone .....I would highly recommend an alternative.	NEUTRAL
Recent studies link prednisone to hip degeneration, osteoporosis, to name a few.	NEGATIVE
Supposedly it does more harm than good.	NEGATIVE
well, sounds like a fish or shellfish allergy, you may ask a specialist, sorry about that! :/	NEGATIVE
I Just had for allergy scratch skin test and it came up with several diffident allergies one of them is eggs but yet I eat my chicken noodle soup that has egg ingredients in it and nothing has happened to me.	NEGATIVE
I deathly afraid of having an severe allergic reaction that could be life threatening	NEGATIVE
The other quesiton is i have it seems that i am allergic to oranges can i continue to take a vitamin c supplement without becoming paranoid of having a severe allergic reaction?	NEGATIVE
Please help I need peace of mind.	NEGATIVE
Thank you :)	POSITIVE
Hello lpjay.	NOT_LABELED
Just finished reading your comments.	NEUTRAL
Who gave you these allergy tests.	NEUTRAL
Did your regular doctor give your the allergy test or did he or she refer you to an allergist ?	NEUTRAL
I had an allergy test many year ago now.	NEUTRAL
I would go to the doctor who administered the allergy test and ask him or her the questions you have asked here.	NEUTRAL
Knowledge is power.	NEUTRAL
Hi Eve, It was allergist, I have not gotten a word from him yet, and I was hoping to use to this medium to get some answers :)	NEUTRAL
Hi lpjay, When I had my allergy test many years ago now, the allergist told me there was a scale to refer to.	NEUTRAL
The scale went from 1-4.	NEUTRAL
One being the lowest and four being the highest.	NEUTRAL
I don't know if the scale is still the same , but I suspect it is.	NEUTRAL
When you do hear from your allergist, I would request a follow up appointment to discuss the results of your allergy test.	NEUTRAL
If you have a 4 to a specific food, I would eliminate that food from your diet .	NEUTRAL
I myself had a 4 to eggs, but I still eat eggs and have done for many years.	NEUTRAL
Everyone is different though.	NEUTRAL
As for your allergy to oranges, I would discuss this with your allergist as well as your allergy to eggs.	NEUTRAL
I have a nephew with a severe allergy to peanuts.	NEGATIVE
He carries an epi pen with him and has done for many years now.	NEUTRAL
You can't be too careful with allergies.	NEGATIVE
Good luck to you.	POSITIVE
HI Eve, thank you for the head ups I spoke to my doctor and he said the coconut milk, is fine and the vitamin c is fine.	POSITIVE
But to second opinion from a different allergist, I mean this want to vaccinate me for like three months for his finding in terms of tree pollen, etc, food allergies, are tomatoes, pork, milk, and milk products, almonds, chocolate and oranges.	NEUTRAL
Hi Ipjay, you are welcome.	POSITIVE
I tried having allergy shots for less than a year, but did not find them helpful.	NEGATIVE
In my case, I had to pay for my allergy shots out of pocket as my insurance at work didn't cover the allergy shots.	NEGATIVE
If you allergy shots are just for tree pollen and other pollons, it's probably cheaper for you to take an antihistamine like Claritin and more effective.	NEUTRAL
As for your food allergies, If you are allergic to tomatoes, pork, milk, milk products, almonds , chocolate and oranges, I think it's a good idea to just eliminate these foods from your diet.	NEUTRAL
Did you know that milk is a common food allergy ?	NEUTRAL
I wish you well.	POSITIVE
Hi Ipjay, you are welcome.	NOT_LABELED
I tried having allergy shots for less than a year, but did not find them helpful.	NEGATIVE
In my case, I had to pay for my allergy shots out of pocket as my insurance at work didn't cover the allergy shots.	NEGATIVE
If you allergy shots are just for tree pollen and other pollons, it's probably cheaper for you to take an antihistamine like Claritin and more effective.	NEUTRAL
As for your food allergies, If you are allergic to tomatoes, pork, milk, milk products, almonds , chocolate and oranges, I think it's a good idea to just eliminate these foods from your diet.	NEUTRAL
Did you know that milk is a common food allergy ?	NEUTRAL
I wish you well.	POSITIVE
Hi there, My comment to you got printed twice.	NEUTRAL
I decided I wanted to join this forum as I have allergies and asthma too.	NEUTRAL
There was an opportunity to join this community so I took it , but to do this, my comments were printed a second time.	NEUTRAL
I hope this comment makes sense.	NEUTRAL
Thanks for wishing me luck.	POSITIVE
Eve take good care :)	POSITIVE
Food allergy.	NEUTRAL
So far allergic to eggs, walnuts, potatoes, peppers (all), paprika.	NEUTRAL
Possibly shrimp, light soy sauce.	NEUTRAL
Going crazy.	NEGATIVE
When eating eggs I cough.	NEGATIVE
Tonight I coughed while eating steak with soy on it.	NEGATIVE
Does anyone else do that.	NOT_LABELED
Is soy and soy sauce the same?	NEUTRAL
In addition have itching, rashes, bumps on head that are crusty and can itch.	NEGATIVE
Heat also a trigger, pollen, grass, dust.	NEUTRAL
Help...	NOT_LABELED
Hello there, I just finished reading your comments.	NEUTRAL
Have you been to see an allergist to get an allergy test ?	NEUTRAL
You say when you eat eggs , you cough.	NEUTRAL
Do you put anything on the eggs?	NEUTRAL
Are these eggs boiled, poached, scambled, fried ?	NEUTRAL
You said heat can also be a trigger.	NEUTRAL
There is such a thing as a heat rash caused by heat.	NEUTRAL
A heat rash can appear on ones chest, under your arms.	NEUTRAL
If you haven't been to an allergist for an allergy test, based on your comments, I would make an appointment with an allergist asap.	NEUTRAL
Where I live, you need to get a referral from your family doctor to see an allergist.	NEUTRAL
Till you know what you're allergic to, I would stay away from soy sauce and any other soy products, walnuts, eggs, all peppers and paprika, maybe shrimp too until you've had your allergy test.	NEUTRAL
I wish you well.	POSITIVE
I've been to an allergist, testing done, prednisone given.	NEUTRAL
No real effects except outside.	NEUTRAL
He also mentioned keeping tract for couldn't test everything.	NEUTRAL
Also went to dermatologist who didnt agree with prednisone.	NEUTRAL
It was quite an expense for they want you to keep coming.	NEGATIVE
Burning comes on from paprika, I can't yet figure out all of what I'm allergic to.	NEGATIVE
Rashes and itching drive me crazy.	NEGATIVE
Eggs cause coughing, even whenvin rolls, alone.	NEUTRAL
Potatoes are the worst, I get sick, can't swallow well.	NEGATIVE
My face burns, husband put soy on my steak last night.	NEGATIVE
Thanks, Debby.	POSITIVE
Hello Debby, I'm wondering could you be allergic to the prednisone?	NEUTRAL
You can read about the side effects of Prednisone on a website called www.drugs.com.	NEUTRAL
I just read up on some of the side effects of Prednisone about 5 minutes ago.	NEUTRAL
There are a lot of possible side effects from this medication one of which was a skin rash.	NEUTRAL
Hope this helps.	POSITIVE
For the last year or so, I have been having horrible sharp pains in my stomach and right abdomen after eating meat-	NEGATIVE
Usually I only get it with pork and beef- I have not noticed any problems with whole fish(I only eat the whole imported mackerel we have at work)  and some chicken.	NEGATIVE
The pains usually give me severe stomach cramps for the next few days- even after I have passed it out.	NEGATIVE
At first I tried to rule it out as me eating too much meat and making myself constipated, but I limited it to one day a week eating meat and switching the meats to see if it was possible an allergic reaction to a certain kind of meat.	NEUTRAL
Last night I was eating a small amount of beef and started getting these pains, I didn't finish eating because I felt like I was going to throw up and I had hives and my lymph nodes were swollen (I had my boyfriend double check to make sure I wasn't just imagining it) and he told me my whole torso and only my torso was extremely hot to the touch.	NEGATIVE
I was reluctant to go to the ER because I cannot afford it, so I took some bennadryl and stuck my head in the window to get fresh air so I could breathe- it worked after about half an hour of tunnel vision.	NEUTRAL
The abdomen pains are still there today though.	NEGATIVE
Has anyone else had this problem?	NEUTRAL
Dose anyone know if this is an allergic reaction to what I am eating or could it possible be something wrong with my GI track?	NEUTRAL
Any suggestions on what this might be or any known treatments would be greatly appreciated.	POSITIVE
Last night after eating a small amount of eggs my tongue started to go numb and tingle- then it felt huge and heavy and i could not keep it in my mouth.	NEGATIVE
I looked in the mirror and saw a red dot on the tip of my tongue that was not normally there and my tongue kind of hurt and looked swollen.	NEGATIVE
I could breathe ok, but it took almost three hours for my tongue to fit back into my mouth and half that time the numbness had faded to the front of the tongue.	NEGATIVE
Today I still cannot feel the very tip of my tongue and the red dot is gone, but I have a lisp that I cannot get rid of that I did not have before- it's very alarming.	NEGATIVE
I heard that it could have been an allergy to the meat, a protein intolerance, vitamin b12 deficiency or it could be something like MS.	NEUTRAL
I am planning on going to a doctor but do not know what kind of doctor to go to for this predicament?	NEUTRAL
A neuro?	NEUTRAL
A general practitioner?	NEUTRAL
Or another kind of specialist?	NEUTRAL
I actually have a similar issue which is why I normally switch to a vegetarian diet.	NEUTRAL
Fish does not bother me neither does shrimp.	POSITIVE
But red meats and sometimes even chicken seems to cause cramps in my stomach and also constipates me.	NEGATIVE
Other people in my household do not have this problem.	NEUTRAL
I have always had a sensitive stomach though so I just attributed it to this.	NEGATIVE
I do eat meat when I am pregnant as that is what my body craves but yes it's hard on my digestive system and I still have to take breaks from it.	NEGATIVE
Keep us updated on this, I'm certainly curious what you find out or discover.	NEUTRAL
Hi, I'd probably see an allergist because although I'm not a doctor, my children have anaphylaxis to different foods and what you describe may have been a life-threatening situation.	NEGATIVE
The hot to the touch, swelling of the tongue are all immediate reactions and the subsequent ones are probably delayed ..	NEGATIVE
the immediate ones can progress and without an epi-pen one may not be able to reverse the process with Benadryl alone.	NEGATIVE
Also, after taking Benadryl in situation as you describe, our allergist has told us to be very careful 4-6hrs later when the Benadryl wears off -- to be wary of a rebound effect that can be worse than the initial allergic reaction.	NEUTRAL
Meat and eggs are two real items to be careful about ....	NEGATIVE
I hope you feel better soon ...	POSITIVE
Thank you both for your responses-	POSITIVE
I didn't know the allergies could get that bad.	NEGATIVE
Since I had the reactions to the meat- I'm eating a whole vegetarian diet.	NEUTRAL
I'm scared to eat meat now.	NEGATIVE
My tongue is still swollen slightly so I lisp my words trying to say them clear, so I will defiantly take the advice of going to an allergist because its been almost a week.	NEGATIVE
Also- thank you for the tip about the epi-pen- my boyfriend said something about me carrying one too, I think that is defiantly something I will have to get	NEUTRAL
- I defiantly don't want to have to go to the ER with a relapse symptom.	NEUTRAL
I will post after I see an allergist.	NEUTRAL
Hi, My daughter carries an epi pen because bee stings cause her tongue to swell!	NEUTRAL
When you get oral swelling, it can be very serious.	NEGATIVE
Good Luck -- glad you were able to stop back to get some info here.	POSITIVE
I don't know if this will help at all either, but my mother-in-law has an allergy to sesame that causes this.	NEGATIVE
She eats meat, but there are a lot of things that include cooking with sesame that give her an allergic reaction right away.	NEGATIVE
So maybe check some of the things that you ate or see if this is something that has been an ingredient that bothers you.	NEUTRAL
I know you mentioned you didn't have health insurance, so I thought I would share with you that she also carries around liquid Benadryl in case she accidentally eats something with sesame in it.	NEUTRAL
It seems to help her quicker than the tablets.	POSITIVE
She developed this when she was about 40.	NEUTRAL
Oh --- mention to your Grandmother that Benadryl now makes the liquid in take-along spoons (for kids actually) that she can adjust the dosing accordingly.	NEUTRAL
I wish they had this when my kids were small -- I used to use a syringe med dropper and carry one ready-to-go in a plastic ziploc bag and needless to say, it did get messy at times!	NEGATIVE
I did not know that Benadryl could help with food allergies, that is great to know.	POSITIVE
I get a stomach ache alot after eating chicken or beef (two more allergies of mine) I mean, I can take just two bites, and wham-o, the tummy pain begins.	NEGATIVE
Other times, however, I do not get the pain, it is so weird.	POSITIVE
You know, I think a lot of times, for me at least, it is all the ""additives"" they are putting into our food.	NEGATIVE
There are so many ""chemicals"" now, and no one really knows if they are allergic to them until it is too late.	NEGATIVE
Oh, yes, Benadryl really will help.	POSITIVE
Sometimes a bit of breakthrough burning with the GERD will occur because of the food sensitvities, even though I'm pretty careful.	NEUTRAL
Benadryl really helps with this, too.	POSITIVE
It also helps when I get that slight feeling like I'm trying to swallow a hard rubber ball I get from all these allergies.	POSITIVE
I hadn't thought of buying the liquid, but even the adult pills will work for me.	POSITIVE
It just takes longer, as was mentioned.	NEGATIVE
I have to stick with what I can afford, but I do understand the reasoning for the liquid.	NEUTRAL
Benadryl works much better than Zyrtec and Clariten which are better suited, as I understand and told to me by my kids, for seasonal and indoor allergies v food.	POSITIVE
Here's a link to Benadryl - they have coupon offers - https://www.benadryl.com/coupons.	NEUTRAL
Thanks.	POSITIVE
My husband had very similar symptoms and was recently diagnosed with a fairly newly discovered cause of beef pork and lamb allergy from a tick bite.	NEUTRAL
If you google red meat allergies it will come up.	NEUTRAL
Hope this helps.	NEUTRAL
I am a female (31) and was diagnosed with severe adrenal exhaustion and hypothyroidism about 1 1/2 yrs. ago.	NEUTRAL
I was on oxygen for 4 mos. just prior to being diagnosed.	NEUTRAL
I was also on physiological doses of hydrocortisone and florinef for about 9 mo.	NEUTRAL
I have been slowly improving but for almost 1 yr. now, if I touch certain foods, supplements, drinks or medications, my body starts to tremor.	NEGATIVE
This will go away by removing my hands from that product.	NEUTRAL
However, I have had some severe reactions (neck jerks, rash, lightheadedness, difficulty breathing, etc.) by ingesting food or a supplement that my body did not initially react to.	NEGATIVE
If touching after a reaction, I will get severe tremors.	NEGATIVE
The list of items is ever increasing making it hard to find food to eat.	NEGATIVE
One certain manufacturer of precription drugs works all the time, but others of the exact same prescription create tremors and severe reactions.	NEUTRAL
I have researched the internet countless hours and have not found any doctor, medical professional or nutrionist who have ever heard of this.	NEGATIVE
I believe solving this problem is key to restoring my health.	NEUTRAL
Any help or direction would be greatly appreciated.	POSITIVE
Hi, From your long history it seems that due to long suffering of the disease you have got Anxiety neurosis causing all problems.	NEUTRAL
In hypothyroid this type of symptoms is common so see that your thyroid is under control.	NEUTRAL
Go for routine check up for thyroid and adjust the dose of medicine accordingly.	NEUTRAL
Once thyroid is all right your most of the symptoms will go.	NEUTRAL
If you have still problem you consult psychiatrist for anxiety neurosis.	NEUTRAL
Wish you speedy recovery.	POSITIVE
Thanks so much for your comments.	POSITIVE
My daughter has already seen a prominent neuropsychologist who did very extensive testing and ruled out psychological reasons.	NEUTRAL
She has not been able to handle thyroid as the adrenals are too still too weak.	NEUTRAL
If she takes thyroid meds, then she has heart palpitations.	NEGATIVE
Just touching it brings on hand and arm tremors.	NEUTRAL
Any other suggestions would be greatly appreciated.	POSITIVE
Hello, Understand your predicament.	NEUTRAL
However, the diagnosis of allergy is difficult to prove or refute.	NEUTRAL
Clinical suspicion and trial of elimination diets are used.	NEUTRAL
An allergy specialist might be able to help you.	NEUTRAL
You can start by maintaining a food dairy and record those specific items that are inducing your symptoms.	NEUTRAL
This will help to narrow down the search.	POSITIVE
He may identify the allergen by skin testing and help to desensitize you.	POSITIVE
Hope This Helped and Do Keep Us Posted!!	POSITIVE
Thank you for your advice and I appreciate your interest in helping to identify this mystery.	POSITIVE
About 1 year ago, my daughter's NMD administered a blood test for food allergy (FoodStats Antibody Assessment) by US BioTek using ""Standard Food Panel IgG"".	NEUTRAL
The test results indicated a number of sensitivities and those foods have been avoided since then.	NEUTRAL
There are a few that are rotational and those are closely monitored using a calendar.	NEUTRAL
She has a growing number of sensitivities since this test and her doctor asked her to do an experiment at our local health food store where we purchase many of our produce.	NEUTRAL
As an example, there is one type of apple that was grown by the same company but in a different location.	NEUTRAL
She could touch one and not have any tremors but when touching the other, she experienced tremors.	NEGATIVE
This remained consistent even 1 week later.	NEUTRAL
This also happens on other produce.	NEUTRAL
Lastly, she was in the hospital for pneumonia in April 2011.	NEGATIVE
The doctor ordered IV antibiotics to be administered.	NEUTRAL
There were two different antibiotic IV bags to be given, but when she touched one bag, she had violent muscle spasms over the whole body which tripped the heart monitor and read greater than 140 bpm.	NEGATIVE
The nurses had never seen this and didn't know what to do until we instructed them to take the bag away quickly.	NEUTRAL
The tremors or muscle spasms subsided, heart rate went back to normal, and muscle spasms stopped.	POSITIVE
The other antibiotic bag did not produce any tremors and was administered without any problems.	POSITIVE
Thanks, Rick & Jenny.	POSITIVE
I wanted to check in on this to see if there was any updates on your daughter?	NEUTRAL
Hope everything is ok.	POSITIVE
As of August 23, there has been little change.	NEUTRAL
The tremors still exist when certain foods, drinks or supplements that her body does not agree with.	NEGATIVE
If we could only get some clue as to what the cause may be.	NEUTRAL
Last week, she did the top of the line parasite test and sent it off to the lab (Genova Diagnostics).	NEUTRAL
Dr. thinks maybe parasites are robbing her of nutrients.	NEUTRAL
We should have results back in a couple of weeks.	NEUTRAL
Cold laser by her chiropractor has been the most effective help.	POSITIVE
I'll keep updating as we learn more.	NEUTRAL
Thanks for your interest.	POSITIVE
My daughter has to be very careful with fruits, too.	NEGATIVE
One brand of a fruit is ok but another one will cause severe allergic reactions.	NEGATIVE
Organic apples usually are okay, and all others are not which makes us really wonder about pesticides in her case.	NEUTRAL
When you mention the bag of antibiotics, this is a long shot -- but, can you find the manufacturer of the two bags and see if one contained latex and the other did not?	NEUTRAL
If she happens to be severely latex allergic, that type of allergy can cross-react into dozens of foods and be hidden in products.	NEUTRAL
Latex continues to get worse and not better with repeated exposure.	NEGATIVE
Just a thought if they didn't do a RAST test for Latex.	NEUTRAL
My daughter, when she was 8, did a total food elimination diet as Dr. Paderla Anitha, DNB has suggested ..	NEUTRAL
we found out her culprit was the tyramine in chocolate causing migraine headaches and severe joint pain and inflammation along with cognitive issues.	NEUTRAL
She, also was severe intolerant to almost 20 foods.	NEUTRAL
Today she has issues with the chocolate still, but has outgrown most her food issues only to be replaced with serious bee sting allergy.	NEUTRAL
Keep us posted .... we are here for you.	POSITIVE
Argh, yes definitely let us know the parasite results.	NEUTRAL
It's very frustrating when it is trial and error like this I am sure.	NEGATIVE
Keep us posted.	NEUTRAL
Thanks for all the responses from everyone.	POSITIVE
Jenny recently had a very complex and expensive parasite test from a specialty lab and they found not one single trace of parasite or parasite eggs.	NEUTRAL
They did note she has a ""malabsorption"" problem as she can't seem to absorb nutrients.	NEGATIVE
She also has NO probiotics in her system and a plant derived probiotic that her doctor gave her yesterday was OK for about 1 hr.	NEUTRAL
Then, her body temperature dropped about 1 degree and she now has severe tremors just touching the bottle.	NEGATIVE
We remove the contents from the capsule and she was able to touch the capsule with no problem.	POSITIVE
However, when she touched the probiotics, she had tremors and they would not go away until she washed her hands.	NEGATIVE
We'll keep doing a nightly research and hope to find an answer.	NEUTRAL
We certainly appreciate your comments and suggestions.	POSITIVE
Rick & Jenny.	NEUTRAL
Thanks so much for keeping us posted on this.	POSITIVE
I am certainly at a loss for a solution so I do hope you find out something more soon.	NEUTRAL
Can Latex cause tremors??	NEUTRAL
I recently was seen in the ER for a unrelated issue and after an IV was flushed with normal saline I began to have a severe tremor.	NEGATIVE
A rash formed on my chest and my heart rate shot up over 200.	NEGATIVE
It was the worst thing ever.	NEGATIVE
They kept telling me I couldn't be allergic to the saline, but every time they gave me meds threw the IV with in minutes it would all come back!	NEGATIVE
It took two weeks of a round the clock benadryl when I got home before the tremor went away.	NEUTRAL
Could this be the cause?	NEUTRAL
Maybe latex in the iv tubing???	NEUTRAL
How can I find out what brand tubing was used to even look it up?	NEUTRAL
So sorry to hear this happened...	NEGATIVE
I'm not sure, but I would definitely begin with asking your doctor if the tubing is latex or latex free ..	NEUTRAL
so much more is now routinely latex-free so it's hard to say for sure.	NEUTRAL
Another area to look into is that some meds in vials have latex in the stopper.	NEUTRAL
Please keep us posted .....	NEUTRAL
This past year or so we have noticed an increase in heartburn when my husband eats wheat.	NEGATIVE
For example Co-Co wheaties which is just warmed up wheat gives him excruciating heartburn.	NEGATIVE
Is this because of the wheat or the food just irritating the heartburn?	NEUTRAL
This is without butter and without milk, just water, and a teaspoon of sugar.	NEUTRAL
Interested to hear others experiences with this.	NEUTRAL
It may be allergies.	NEUTRAL
I get mild to severe heartburn when I ingest somethings that I am not aware that I am allergic to...	NEGATIVE
We always passed it off as heartburn and not something more, but yes now I am wondering if its actually an allergy.	NEGATIVE
When I think allergy I think swollen face or throat or watery eyes and sneezing.	NEUTRAL
I don't always think of heartburn lol I'm glad to hear someone else has experienced this too.	NEUTRAL
Do you notice any food triggers for you that cause this?	NEUTRAL
Oh my, yes, food allergies are not just the ""anaphylatic shock"" They can show themselves in so many forms, it is unbelievable.	NEGATIVE
Mine show up as anxiety attacks and weight gain, some cause an occasional irregular heart beat as well.	NEGATIVE
This is one reason they are so difficult to diagnose.	NEGATIVE
Heartburn and GI disturbances are definite ramifications of food allergies by the way.	NEUTRAL
Some of the foods that trigger my reactions are wheat, whey, eggs, the list is long, but these are the more common ones.	NEGATIVE
I have never had an anaphylatic shock from any, the the good Lord, but, sure have had other symptoms that make a person miserable.	NEGATIVE
I notice I can stiil eat these foods once in a while, but, if I eat them all the time, then the ""fun"" begins.	NEGATIVE
Thanks so much for posting that--- and you are so right when I think food allergy I commonly think throat swelling up or rash.	NEUTRAL
And now I am definitely looking more into this as a solution for my husband.	NEUTRAL
It's one thing when you eat something spicy or greasy and you get heartburn, but another thing when you eat something just wheat based and it causes severe heartburn.	NEGATIVE
I'm going to have to start keeping a food journal of trigger foods.	NEUTRAL
I am curious do you notice that eating too much meat adds to the Heartburn or GI issue along with your allergies?	NEUTRAL
My kids get bad reflux/heartburn from foods that they are intolerant to ..	NEGATIVE
they call it an intolerance for them because all tests are negative but they get this reflux and/or GI symptoms, too.	NEUTRAL
Milk, for them, is a huge trigger.	NEGATIVE
Here is an interesting point to, we used to live by a Morning Fresh Dairy farm where they delivered fresh milk to our doorstep.	NEUTRAL
It was the best thing ever, our family loved it.	POSITIVE
We even had cream top milk where they let the cream stay natural and be at the top of the bottles.	POSITIVE
My husband was not affected by this milk at all.	POSITIVE
Once he has commercial milk, the kind sold in grocery stores, he gets heartburn.	NEGATIVE
I have never liked milk even when I was little it was always just something that made me cringe, so definitely had to find an alternative.	NEGATIVE
I do say that I have stopped giving my boys soy milk and including myself because of the phytoestrogens.	NEUTRAL
I just bought some Flaxseed milk for the first time, so I am going to try that and see what I think.	NEUTRAL
I will be sure to let everyone know how it is.	NEUTRAL
I have found this as well with Wheat, and eggs.	NEUTRAL
The heartburn does not seem to last very long though.	NEUTRAL
But I agree with others, it seems to be when I am eating foods that I am intolerant too.	NEUTRAL
And what is interesting is this can go beyond normal foods--- I got heartburn the other day from chewing a gum that had aspartame in it, that was awful!	NEGATIVE
I usually never chew gum with the aspartame in it or phenyltronics ( not sure of spelling) and I did because I was desperate and it was horrible.	NEGATIVE
Also had this happen several times with toothpaste.	NEUTRAL
I can't help but wonder if it is the preservatives in foods and or products that react to the body in such a way.	NEGATIVE
Speaking of gum did you know that Chiclets used to use latex?!	NEUTRAL
The original one had latex in it as an aid for it to be ""gum"" !	NEUTRAL
It doesn't surprise me at all that Aspartame gives you heartburn.	NEGATIVE
It does the same thing to me.	NEUTRAL
Stevia is the only artificial sweetener that Mercola considers to be ""safe"", but it makes my stomach burn, too.	NEGATIVE
So does anything with soy in it.	NEUTRAL
There are quite a few articles on Mercola's site about artficial sweeteners, too.	NEUTRAL
Consider yourself fortunate in a way about the Aspartame allergy, because it will discourage you from using something that is harmful to your health.	POSITIVE
I had to take prescription strength Benadryl this morning because of some delayed reaction to something that was making it impossible to sleep because of the reflux.	NEGATIVE
Conventional medicine would write this off and say that GERD is simply the over production of stomach acid.	NEUTRAL
Well, actually, that's over-simplifying GERD.	NEGATIVE
I took the Benadryl, because it's better than reaching for the PPI meds that shut off the stomach acid and are so bad for a person's health when used long-term.	NEUTRAL
They actually cause the stomach to start churning out even more acid in the long run, too, because the stomach will notice the missing acid and over compensate.	NEUTRAL
I actually have quite a long list of foods that do this to me.	NEUTRAL
The majority of my food sensitivities cause this reaction.	NEGATIVE
Avoiding the worst offenders is the only way I have any real control over the symptoms.	POSITIVE
If you're close enough to get to Trader Joe's, they have the most affordable rice pasta you can find.	POSITIVE
It costs about half the price that the same kind of pasta costs in the other chain stores.	POSITIVE
I find the rice pasta to be better than the rice tortillas or the rice breads, because the rice tortillas and the rice bread tend to crumble apart.	POSITIVE
They don't taste bad, but they do fall apart.	NEGATIVE
It's the gluten in traditional breads that keeps this from happening.	NEUTRAL
Actually, I knew that all chewing gum used to be made with latex.	NEUTRAL
Actually, I did a bit of research on some modern day ingredients of these gums and found out that many do still use a form of latex.	NEUTRAL
It just isn't called ""latex"" after the alterations the scientists have done with it.	NEUTRAL
I used to chew gum as a kid, but now it all bothers me.	NEGATIVE
I don't think it's just one ingredient that bothers me.	NEGATIVE
But, I have TMJ issues any more, so I don't enjoy chewing gum any more anyway.	NEGATIVE
Mercola explained something interesting about chewing gum that I had no idea about when I was a a kid.	NEUTRAL
He said that chewing gum can actually cause an acceleration of the decrease in digestive enzymes that all people get as we age.	NEGATIVE
So, this decrease happens at a much faster rate when people chew a lot of gum than if they don't.	NEGATIVE
None of us knew that back when I was a kid who chewed gum.	NEGATIVE
I had no idea about the latex :( I love Dr. Mercola site and the free newsletter that they send out, it's very helpful.	POSITIVE
I always cross reference his articles with Dr. Weil, he is another favorite of mine.	POSITIVE
Cracker Barrel Restaurant actually distributes a gum made out of cloves.	NEUTRAL
It has regular sugar in it, but I don't get heartburn from it.	POSITIVE
Have no idea all the ingredients in there though lol.	NEUTRAL
Ate pineapple yesterday morning, noticed it was a bit tangy.	NEGATIVE
By noon yesterday, my mouth was on fire, lips and mouth flesh swollen, bottom lip almost droopy.	NEGATIVE
It's not better now, how long should it take to return to normal, if it is caused by pineapple?	NEGATIVE
Have sore throat too, with some blistering on throat.	NEGATIVE
Thanks.	POSITIVE
Hello there.	NEUTRAL
It sounds to me like there was something very wrong with the pineapple you ate yesterday morning.	NEGATIVE
I would call your family doctor , tell them what is going on and make an emergency appointment.	NEUTRAL
I wish you well.	POSITIVE
Eve.	NEUTRAL
Thanks for responding.	POSITIVE
