title,isEdited,rating,userName,review,date
Forced to follow,False,2,Cafasr,"I have been a long time user of this app, and loved it!!   Until, I was forced to have to set up a passcode for my phone to be able to use the app.  I have never used a passcode on my phone and I don’t want to now.  My phone is never left out and is always with me.  So, please change the app, so that you can use it without having to passcode your phone.",2022-02-09 12:10:23
Forcing passcode,False,2,KayNein,"I was finally getting the hang of this app but now it’s requiring me to put a passcode on my phone in order to use it, which is ridiculous. What do I have a pin for then? Make a better password system instead of a 4  digit pin if you’re worried about security. Don’t make someone passcode their WHOLE PHONE. Wont be using this until that feature is removed.",2021-11-02 18:00:35
You agree to have adverts served to you in your doctors portal,False,1,GotNate,"The second time I used this app, it started me over with a new onboarding process, as if I had never used it. This onboarding made me agree to the t&c before I could read messages from my doctor. As is typical, they reserve the right to alter the deal whenever they like, without notice. They all require you to agree to be served adverts. I deleted the app and used my doctors website instead.",2021-12-29 18:09:59
Needs improvement,False,2,Sunflowaah,"I sent a message to my doctor on Thursday during the day and the sent messages show it sent at 2:30am today, a Wednesday. I went to the support tab, it won’t load & neither will the report a problem tab. My WiFi is full bars, it’s not my end. The app is alright and useful to see RX but if the messages aren’t correctly sent out how can you document correspondence precisely through it?",2019-09-25 15:45:06
Absolute nightmare,False,1,kmichaelaye,"The whole login and password interface is completely unusable on the iPhone.
The text entry fields continuously go out of focus, so that it’s very hard to copy secure passwords from your password manager in. On top of that the password quality verification is so broken that it claims that a 31 character password with special characters is a weak password. I’m an iPhone user since model 3 and rarely have I seen such a useless iPhone app.",2020-12-06 19:09:27
"Once incorrect DOB recorded, cannot add new providers",False,1,QuantumBiker,"My 1st provider input wrong DOB. Once I discovered it, provider fixed it but this app does not sync so now I cannot add any more new providers because of DOB mismatch. Broken since mid 2019

“.... information won't sync to the healow app automatically as this has been reported as a known technical bug and our technical teams are already working on this issue. “

Also, only works in portrait mode, really not intended for iPad. Very bad implementation and deserves 0 stars!",2020-02-12 18:51:47
Frustrating Bugs,False,1,Chico Kids,"This site has a few bugs that need to be worked out. The doctor’s office phone number was entered 4 times before accepting it. 
The state where I live is not Alabama - but I don’t care how many times I scrolled down to my state and made my selection then pressed “done” I could not change the state location from Alabama to the correct state. 
You think that maybe why the system can’t locate my doctor? He is not in Alabama! 
🥴 Frustrating system!",2019-05-01 13:02:36
Useless,False,1,Ms.Flutey,"This app takes forever to retrieve data. It takes ok 2 minutes to switch from my appointment list to the notes on one of those appointments. The text is so small and light gray that the only way to read it is to take a screen shot, increase the contrast, and then zoom in to the part I want to read. What a complete waste of my time. I will share this info with my doctor’s office and ask them to find an app that will be helpful to their patients.",2019-01-27 12:30:06
Really not a good app,False,1,Dobie McArthur,"I use this only because my doctor’s office uses it. Does not work well. Not intuitive and generally difficult to get anything done. Hard to believe my doctor couldn’t find a better app. 

Specifics-very difficult to order a new prescription. Impossible to turn off the reminder to take my pills. Been trying to turn it off for a while and there just isn’t a way to do it.",2022-04-17 17:42:27
Issues connecting FitBit,False,3,beckly_freckly,The app takes me through the process without a problem until it comes to actually allowing access to data. When I tried to report the problem through the app it said I had made an invalid request.,2020-11-30 21:12:15
User friendly?,False,2,94jag,This app is not very user friendly.  When trying to find my provider the app had a hard time locating my Doctor by name.  I finally searched by clinic but I still couldn’t select my doctor from the list.  Really clunky but then it has two party authentication (probably required by some HIPPA law) so kudos for having the two party authentication.,2021-04-30 12:03:36
Not user friendly,False,2,needsworkthisisannoying,"I love the theory, but this app is not the least bit user friendly. If the point is to link all your providers together for easier communication, why is everything so separate and difficult to navigate? Trying to set up a new account with a dr office is a nightmare. Since that’s done it’s not so bad but there are definitely improvements to be made to the user platform.",2019-10-15 21:26:29
Clumsy and Useless,False,1,jfthomas,"One would think that an app such as this is meant to make things more convenient, but this app fails miserably.  It really serves no useful purpose.  For example:  An obvious function (to me, at least) of the app would be the ability to export an appointment to the iOS calendar.  With this app, it’s not even possible to copy text for the purpose of pasting into the calendar. Furthermore, if you go to the calendar (or anything else) you have to log back onto this app. N",2018-03-28 18:54:06
Dismal onboarding experience,False,1,Pcendeavorsny,Wants everything. Required everything. Forced you to engage or not have access to labs. Twisted twisted or just badly designed. This app is an example of why there are trust issues between people and service providers. I just want my bleeping results. I don’t want to authorize a million things and as soon as I get my results I intend to record and delete the app and all such permission.  You made it weird and creepy.,2021-10-21 14:04:32
Glitches,False,2,Shanifurs,Was working great and had all my info and my doctor’s and my spouses. I asked them to find a doctor for me because I could not and BOOM all my info erased completely and won’t let me sign in or start over as it can’t find my doctor’s all of a sudden. Do not follow the prompts to find one of your doctor’s. They will lose all that you have in there. What a giant headache!,2021-09-23 23:08:31
Statements & Paying Bills,False,4,bocaciega,I haven’t had to use the app for anything yet except for looking at my statement. My doctors office said they uploaded my statement to the portal. But I cannot find it anywhere. There does not seem to be a billing or statements feature on the mobile app.,2021-04-21 16:43:17
Cannot change or correct email address,False,3,Mick from Syracuse,"Attempted to fix an issue with current email address there is no link to change or correct, you cannot email to correct......limited help available for non Doctor related questions",2020-10-16 17:22:34
Cant sync with Apple Health or schedule appts,False,2,joshspicer_,"Compared to a lot of over health provider app, this app doesn’t do much. 

i’d like to be able to sync the data here with Apple Health so i wouldn’t have to try to navigate this app’s difficult UI. 

My provider doesn’t seem to receive any messages i send through the app, and also doesn’t respond to any appointments  requests",2020-11-22 13:05:26
Could use some improvements,False,3,DarlynGabby,I like being able to communicate with my doctor and see my meds. Would be great if we could communicate back and forth with the same thread. It’s frustrating hack g to start a new one with every reply. Please fix this. It should function much like epic/MyChart,2022-03-03 18:03:16
Terrible,False,1,Dearlyb,"If I could give it a zero I would. Worst patient portal ever. I’ve decided based on current experience with two practices using it to switch out of both practices to ones which use a portal more user friendly. They do exist-both U of M and Henry Ford have better ones that do not send you a blizzard of contradictory messages or notify you of appointments a week AFTER they happened, are more compatible with Chrome.",2020-10-01 19:58:10
Please improve the interface!,False,2,christidestrom,"To for example, request a prescription from my doctor's office, I have to take multiple screenshots and zoom in, just to be able to see what's on the screen! PLEASE update the app with better contrast and a bit larger buttons and icons! The app itself is pretty good, but the interface is just way too hard to read for even slightly visually impaired people. Like me.",2020-02-01 14:05:07
Mr,False,5,Warrior907,"I have been using the older version of the app since my doctor suggested me, After upgrade to this latest version I am totally amazed with the enhancements they have did. 
The best part of this app is you can be aware about the upcoming appointments.",2017-06-06 09:08:06
Instant Accessibility,False,5,J1M999,I really enjoy being able to communicate with my doctor’s office and getting my questions answered through the app and even refill my prescriptions.,2022-03-14 11:32:33
Why the changes on….,False,3,Subra333,"I have used this healow app for a long time. Recently, I noticed that I have been receiving a message, stating that I need to go into my settings & make a passcode before I can use this app or even get into my phone! I think I should have the option! Not be ordered to do it. Thank you, Subra 333",2021-11-09 20:31:24
"Great idea, not quite there",False,3,JJ Da GymRat,"Great idea and it serves it purpose and then some. Unfortunately it does not offer the more popular devices to sync up with(a section you are able to share with your health providers). Hopefully that will change, especially with the way healthcare is now.",2020-11-14 17:54:34
Can’t enroll multiple family member and no help,False,1,Cuneo777,I tried to figure out how to enroll three children. I can only enroll one. I tried to access support but there’s none available unless you have a problem with your login ID or your password. There is no online chat and there’s no way to email this app admin. Unfortunately I had to delete it from my phone and tell my doctor that we won’t be using it.,2021-02-23 19:05:14
Notifications,False,2,KC1974,"By any chance can notifications work? If I get a test result or a message from my provider, I have to manually go in and check if anything is there. I have notifications enabled in iOS settings but there are no notifications from the app, and no settings to manage notifications in the app either.",2021-02-19 19:12:48
Too nosy,False,1,De-Tetris,"This app REQUIRES microphone access, camera access, and notifications to be enabled. Unless you’re doing a telehealth appointment, there’s no reason to need the microphone and camera. This is a privacy issue, which a medical app should be aware of. And it should be up to the user to decide if notifications should be enabled. I will not be using the app until these issues are fixed. I’ll have to resort to calling the office.",2021-02-08 13:44:54
Ignores,False,1,Radish Italia,"I have had the app for many years. When I want to add two new providers - it does not find them even with their respective codes. O,d app is same...but has a 4 number pin. It should not be difficult! It app mentions “your credentials provided ....by physician...” yeah right! When I use my user name and password - it works for one provider but comes up invalid on the other..and yes I used the proper codes etc. one sign in should work for all!!",2020-09-29 17:50:56
App is really slow,False,3,Andreea Powell,"The app is taking very long to load the data . Sometimes after waiting a while, an error message appears and needs to be restarted
The idea of the app itself is very good and I find it very useful but needs improvements.
Also the vitals should be kept in the historic . Much more useful for me as a patient",2019-04-05 03:27:44
Fine when it works,False,2,LawHog,"My clinic switched to this app a few months ago. When it works it does what I need. However, today I needed to request a medication refill and send a message to my doctor. The app is running so slow it felt like being back on a dial-up connection. Additionally, I kept receiving errors when I tried to send a message to my doc. Just doesn’t seem very reliable.",2019-02-25 20:20:36
Worse health app ever used,False,1,GitanaB,"This app is full of glitches and its so difficult to make it do somethin right. I have being tryin to connect my provider to the app and I just cant because the app just stay in the same page even after me clicking next, try with name and address and its the same. The only way to access my stuff is thru the browser link the doctor sent me! The app is really bad!",2021-11-24 15:03:20
Not Impressed,False,2,LizzyOM,"When asked to log in, it always says my info is incorrect even when I know it’s not. Why ask for a pin and a password when you don’t remember either?  Finally, it can’t seem to locate my doctor or the practice. Very annoying and frustrating app to use. More like, can’t use because it doesn’t work.",2021-07-09 13:31:24
Worst medical practitioner APP,False,1,Your nameistaken,"This app may please the medical practitioners, but it is user unfriendly and 99% of the time the practitioner cannot be located.  It fails on several fronts:  practicality, time, and justification of it's difficulty to use.  Hello!  Not all patients are computer whizzes.  I have a good grasp of how to operate most other apps in this field, but I’m not going to spend  time trying to communicate in this manner when there are many great, safe apps available.",2021-02-23 01:15:00
Medical records,False,5,Wade.Susan,"My doctor is with optima and I am seen in Prescott, AZ.  They are so great about updating my records! This ap is great! I always forget my appts and I can look on this ap very quickly to see when my Appointments are! It’s so fast too! Thanks",2020-10-28 00:19:02
Hideous login experience,False,1,silverspace,"The mobile app uses a PIN to log in, not the credentials from the web site. It should allow me to use the web site credentials and my password keychain to store the credentials.

Also, it seems that if I don’t log in often enough, the credentials expire. I do not see my doctor that often, so the net result is that every time I try to login, I have to phone my provider and reset the password.",2020-10-15 22:01:07
"Not so great, but could be.",False,2,Ritgo,"Glad we have this connection to our doctor. When composing messages, the search feature does not always find my doctor, and there are too many steps to go through to compose a message. Can I isolate or save my doctor’s name so I can just automatically send a message to him?  Right now I don’t see a way to do that.",2020-08-13 14:10:14
Useless App,False,1,bicwood,"I do not know if it is a problem with the app or a problem with HCA/St. David’s  practice administration, but the result is that this app is useless.  There are always issues with logging in and today (June, 2020) the latest data I could see was from April 2019.  This type of thing has been an ongoing problem.  If you try to talk to the clinic people about it, they just complain about all of their issues with the software.",2020-06-29 14:29:00
Worst Health App Ever,False,1,peooelel,"My physician has wasted money on this application.  Even after the support desk helped the office with the appointment section of the app, the only thing I can see is past appointments.  On top of that, I can’t see anything in most other sections of the app.  This app doesn’t even work on my desktop.  If it were up to me, I’d fire this company because there are better apps out there.  I know this because my other physicians have apps that work very well.",2020-02-06 15:17:28
No Apple Health Connection?!?,False,3,Wafflechipbball,"I like this app, it keeps all my doctor I for in one place, but I'm extremely disappointed that I can't connect my Apple Health App or my Apple Watch! If this app is available on the Apple Store, why can't I connect anything Apple related to the app?! It's the best way to track health on iPhones, what sense does it make that we can't connect it?!?! Please add support for this...",2017-07-27 17:00:02
No special characters allowed?,False,2,KellyMakesThings,"Every time I try and send a message to my doctor, I have to go back in and remove any ‘special characters’ before the message will send. Apparently an apostrophe counts as ‘special’??

Please repair it so that shortcuts like the use of conjunctions, ampersands, etc are allowed. Having to comb through my message and pull out characters in order to get my message to send is driving me bananas!",2018-11-02 13:44:24
Love the convenience,False,3,Vango1972,The platform for this app is awesome. I think the only thing I dislike about it is it does not send you notifications. I have to manually go in and look for a response even though the settings I have are sent to allow for notifications.,2021-02-22 20:14:21
Horrible experiences,False,1,bhumda,I absolutely hate this app. It’s very difficult to navigate. I received emails telling me that I have appointment visit notes available and then I get to the app and I can’t find the notes I’ve looked everywhere and nothing exists. Sometimes I receive an email saying that I had an appointment on such and such a date and that appointment never existed. Again I absolutely hate this application,2022-04-16 06:15:14
Pay Bill,False,1,Gary.B,"I’ve with Acton Medical in MA and the simple thing I’m trying to do is pay my bill. I cannot pay it through the App, and the payment section of the portal website won’t show all the fields on my iPhone 12 Pro Max to be able to see all the fields to enter the data to make my payment.

Aweful App and service, and way worse than FollowMyHealth the previous service which worked.",2022-04-14 20:02:24
Review,False,5,patient happy,I really like this app. Easy to used and I got a response from my doctor in less than 24 hours without having to wait on the phone. 👍,2022-04-03 18:29:39
Can’t use the app,False,1,Mama MelE,"In the past, I have loved this app because I could access all my records with my doctor. However, a recent update is now trying to require me to set a passcode on my IPhone to use the app!! 
I have always had a passcode for the app, but I am not going to be controlled by an app to lock my entire phone with a passcode just to be able to use this app! 
One app is not going to dictate how I use my phone!!",2021-11-28 08:36:44
Needs improvement,False,2,Jerwan30,"With all the new technologies that are out the  app could use a major overhaul.  It would be extremely helpful to be able to link the app to apple health and to be used on the Apple Watch.  Especially since the watch can measure heart rates, oxygen, exercise etc and report it to your physicians.  Gives a whole new meaning to healthcare.",2021-10-29 11:11:41
Poor in most aspects,False,1,msheltra,Prepare to write text in a very limited fashion’s like no punctuation marks etc. and prepare to get logged out and then locked out or unable to login on a regular basis. Many doctors want you to sign in through portals and you have to use their application unfortunately instead of all of them getting together and using a universal portal you get this - a really poor choice of a software package for a doctors portal,2020-09-26 17:48:08
Can not login,False,1,Hanyusa2010,I just downloaded the app and every time I try to search my doctor with the three options available the search comes out blank page and even if I try the option that can’t find my doctor it also comes out blank so I can’t find my doctor to login even though I can login using google browser but the app doesn’t work at all. Please fix it ASAP,2020-05-15 10:39:31
"Ok, needs help",False,3,Hezmana ,"Initial login is very clunky, could be much more streamlined.  The app is very slow in accessing the data compared to logging in to a patient portal on a web browser.  In addition you really can’t do anything with the app but view data.  No ability to fill in forms/questionnaires.",2021-02-17 16:32:52
Developers could do better with this app,False,2,TimeWolf,I love the idea of this app but functionally it does little to help manage my health.  If you want limited reporting and communications with your health services Healow is for you. So much potential but delivers almost nothing.  There are hundreds of medical provider apps that will read data from an Apple Watch but not Healow.  I think this app has cut lots of corners and sold health care groups vaporware.,2019-10-30 15:26:40
Bad software,False,1,xtdr1,"I used the app on my old iPad , no problem. Just got a new iPad the app will not recognize my last name. Went to the company website couldn’t send e-mail. Tried to logon again , it said to verify me it will send me a text message, no text message ever sent requested again, no text. Tried a different way it said we will send  me an e-mail , no e-mail ! Finally got the e-mail , totally useless! Not even going to go on with this story it’s ridiculous.",2019-04-25 13:48:48
Incredible App!,False,5,Hendewerk,"I love the new app.  It is so easy to login, very intuitive to use.  Easy access to all my records. My lab and test results show up quickly and are easy to find.  Easy to email my doctor.  Love everything about it.",2017-10-21 10:36:06
Easy to use,False,5,nismas blanket,"Love the app & having email access to my doctor is a great improvement over calling the office. Records are right there, easy to find, test results too. Love it!",2022-03-25 14:55:43
Good start but needs a lot of patches,False,3,AM2188Health,I can’t see previous messages or reply to old ones. They disappear after being opened. I couldn’t refill my meds; the option isn’t available even though it says I should be able to.,2022-04-12 13:27:30
Housewife,False,1,JLauver2109,"I was told I needed to update my app, the app I have will no longer work. This is what I was told when I went to open my previous app so that I could order my meds. Now that I have downloaded the app I can not even open it, so now what I had on my previous app is lost. Not happy with this app at all. With times being like they are I’m needing to refill my prescription, and can not do so.

Not happy customer 
Jean",2020-05-19 22:09:58
Concerned user,False,4,horse gorilla,"Tried to use app for another doctors office. Could not find the section that lets me refer to the other practice. This makes it impossible to use for the new doctors office.
This review section won’t even allow me to send comments.",2020-06-13 00:54:38
Increasingly helpful,False,4,Skanky 007,The more I use this the more I like it. What I like most is being able to share lab results with other doctors as opposed to having to rely on an office sending them along for me. Kind of empowering. I am also able to track my results as needed.,2019-02-16 22:28:04
Punctuation not allowed???,False,1,shaeba88,"In trying to send an important email to my doctor the app would not allow it to be sent due to “special characters” within my email. I removed any parenthesis and italics but the error message continually appeared until I removed every single apostrophe, comma and period! What kind of app doesn’t allow ANY punctuation at all?? Thank s makes no sense!! It’s unacceptable and incredibly frustrating when trying to send a message!",2018-08-04 06:18:28
Ideal For Medical  Appointment,False,5,IslandBoyWeezy,This application made it easy for me to keep up with all my medical and dental appointments. Ever since I’ve been using this app I’ve made it to all my appointments and been keeping up with everything that’s going on with myself medically.,2018-05-16 04:28:14
Slightly useless,False,2,Joseph La Mere,"Why don’t you require providers to make all information available?  Only 2 fields are provided.  Not very useful.  I can’t even see my height and weight.  Contacting my provider won’t do much either, since there’s no request button, I have to talk to someone who has no idea how to fix it.  Would be four stars with these revisions.  Also why can’t you Touch ID to login?",2017-10-06 06:09:55
"Overall decent, needs integration",False,4,Razr7,Please keep us updated on plans to integrate to personal health profiles like Apple Health. It would be very helpful to be able to sync my data monitoring with my physician.  Especially with the current situation where remote appointments are needed.,2020-04-23 21:42:50
Very difficult to read,False,2,Oliver J Kat,"I like the layout of the website. I completely dislike the font size - way too small. Also colors of text on backgrounds. Small very light white on gray or blue background. Likewise, small blue text on white background. You have a good system, just a poorly designed usage of font size and color backgrounds.",2021-06-23 21:29:02
Nice concept ~ bad interface,False,1,Outdoor John,"I have 2 different medical providers and the app does not provide an easy process for adding the 2nd provider.  After logging into the  “default” or 1st provider set up there is not a clearly evident or easy way to set up a new different clinic.

The Healow designers should review the MyChart app to see how to design a better interface and an easy process for setting up additional providers.",2021-05-18 12:39:20
Needs updates,False,2,Whitelk,"While this app is convenient, it frequently does not work properly. It is very difficult to add other providers to your account. I use an iPhone 11 and find that the interface does not respond when I select buttons when trying to add new providers. For a medical app, this needs attention.",2021-02-22 20:14:45
Do The Developers IT people even READ these Reviews???,False,1,Lu$Lu,"It’s obvious no one is reading these reviews by everyone trying to use this app to navigate their doctor portals. 
If you read them you would be replying and fixing the issues so it is useable and user friendly. 
You should be able to search for Dr’s and get results. 
You should not have to have different
 sign -ins for each doctor portal. You be able to select between your different doctor portals under ONE sign-in. 
Life is hard enough these days. Why have an app that doesn’t work. 
It’s useless. 
🙏🏼🙏🏼🙏🏼Praying all the issues get addressed and fixed so Everyone can use this what would be a Wonderful app. ♥️♥️♥️",2020-11-03 05:11:02
Just ok so so,False,2,LadyAntler,"I appreciate having information at h  as bd and bring able to see current visits and test results, but cannot understand why I can’t update simple things like a dated of an illness or date of a surgery or my Drs phone number. 
I can’t even list prior surgeries that I’ve had done. Should be a place for that info as well from patient history other than just some Dr notes.",2020-04-16 16:55:26
Not showing results like it used to,False,2,StarletMoppert,When I want to check out my results to compare to the more recent results the screen is blank. It used to show them. Also it takes forever to load to see them when they did show. I’ve tried it on my iPhone and now I’m on my iPad and it still hasn’t improved. It did the same on my iPad. Yes I’m using a good WiFi.,2018-10-24 13:26:32
Many many functionality issues,False,1,Vt news reader,"Does not show “next” appointment correctly. 

Example. I have two appointments scheduled this week. On Monday. Tuesday’s appointment does not show in appointments. Nor past appointments. 
Friday’s appointment does show. 

Tuesday afternoon. After Tuesday’s appointment. It now shows in past appointments. And fridays appointment ( which was displayed until Tuesday afternoon ) is “missing”. 

However. The follow up appointment from Tuesday ( scheduled in December) that’s visible. 

Programmers are indexing from 0 and 1 and dropping records whey should be displaying. 

The support folks say use the website  cause the app has issues. 

Exactly what use is an app if you have to call the provider and wait on hold to verify accuracy of appointment info ????",2019-10-18 16:43:55
Send message,False,3,Will9578,"I just spent about 40 minutes trying to send a simple msg to my Doctor because it kept saying it wouldn’t accept a special character like an apostrophe.  Luckily, I was finally able to figure out what the issue was.  But, why does it care if there is an ‘ in the message.  You need to fix that!",2018-09-04 21:56:14
Great Idea- Needs features,False,2,Bethery27,"It is a great idea to have a place where as a patient you can get all your medical activities. 

I cannot find where I can add my children or have multiple people on the app. 

There should be a robust help feature that at least shows you how to do the things the app does. It is easy to get list circling around choices, but. It getting to what you want.",2018-10-15 11:25:43
Application Review,False,4,Daddyt52,"The app continues to improve with updates. It would be helpful if there is a way for you to send a message to update your records, particularly on the new supplements you are taking. I would be interested in applications that may interface  with this app.",2018-07-17 11:34:53
Very convenient,False,5,Mingo maven,"It’s so easy to find my appointment information, my med list, my lab results & so much more. It’s easy to send messages to my Doctor. It’s easy & convenient . I enjoy the Healow app very much.",2022-02-28 17:34:43
Keeps closing out! Please fix!,False,2,Beth 🦋,This app works great usually. Today it’s just asking for my passcode over and over again saying there’s been an error. I can’t use the app at all. Iv updated and still the problem is happening continually. Please fix this bug. I need to be able to log in and access information.,2021-09-23 19:59:33
Healow is a huge help!,False,4,M-A 28,"I like having my last results at my fingertips, as well as next appt, Insurance info. Wish you could connect with my Physician also. Not sure if that is an app issue, or due to my dr office restrictions. Would like to view previous results also.",2019-02-20 23:38:26
No refills,False,1,Drybean1,You can look for hours and not find how to request a refill. This app is how the Doctor wants you to request a refill. True the pharmacy can request a refill but that request goes to the staff not the doctor. You could wait forever and not get your refill.  The app is a great idea but it seems the best way to request a refill is the old fashioned way...call the office during office hours. If they answer you’ll get your refill.,2018-12-26 08:57:56
Email editor needs work,False,3,Sailing Nomad,"It’s nice to be able to email your doctor. Unfortunately I couldn’t send that to my doctor because of the ‘ in the word it’s... the editor won’t take it.

Also it would be nice to send pictures as most doctors can see if a wound is healing correctly of if it might warrant an inspection in person.",2018-08-22 22:45:05
Health Kit integration needed,False,3,demockery,"The fact that this app doesn’t tie into IOS HealthKit data is the dumbest thing around. My dr. could easily have access to daily blood pressure, weight, pulse, you name it from the wealth of sensors in my watch and what I enter in. 

So instead I get to email screen shots or hold my phone up for them to read. Get with the program Healow.",2020-04-14 15:09:40
Very helpful,False,5,Lizzijb,I have enjoyed using the app.  I even added my family so I can keep track of their appointments too.  I can even set it to remind me of appointments.  I like how easily I can see results of tests or X-rays.  I recommend this app,2018-04-23 12:18:29
Crappy waste of time and collector of sensitive personal info,False,1,smommore,"Linking multiple docs is not easy or helpful. Date of most recent appointment went in as a 3 years ago event. Family linking is near impossible of course with HIPPA restrictions on child info despite the fact that children do not follow up on their own care at age 13 to 17. Managing multiple Healow accounts on a crappy app is no dream. Send me my reports via secure messaging please. Do not waste money on this sham, doc practices!",2017-12-12 00:55:29
Great!,False,4,JoeJoe777(:,"love it!
wish all of my doctors and providers used it to have them all in one place!

only wish you could send photos or add pictures of your license / insurance card for both you and the office to see.",2022-03-03 21:46:27
Almost useless- at best,False,1,Chas271,"The overall font on iPhone is is very very small, with no option to enlarge it. Apparently the developers never tested their work.
Mail INBOX is available, but not SENT mail. Cannot refer to previous message to Dr, so you have to begin from the top AGAIN, trying not to forget what you sent the first time.(since last message not visible)
Very clunky to use overall",2021-05-08 16:17:56
Had web based experience and outdated everything,False,1,Petar ,"Calls it Touch ID despite being FaceID. Requires a lot of permissions to work for no good reason. Makes me question the privacy of this app. The UX is terrible. I wish my provider went with a different one. In fact, this might be a good reason to change providers, since I’m not really that satisfied with my current provider anyway.",2021-05-05 22:42:20
Garbage App,False,1,thefordz1,"This app is garbage. I was able to finally log in when I discovered my doctor’s office spelled my email address (user I’d) wrong when they set me up; however, when they corrected it and sent me a new user ID which is confirmed on Healow app when I follow those instructions, no matter what I enter as my password, it tells me invalid login credentials. Good thing I don’t ha e a weak heart, or this “health” app would kill me. Just trash.",2021-03-05 17:43:00
It’s areal pain in the A,False,2,DJ6220,Not very friendly to setup. No desktop or Windows app. Can’t contact support the they have questions set for you no place ask about your issues. Screen set for mobile phone and still remain horizontal no way to turn it vertical. Would be a nice app if cleaned up and medical users would update.,2021-05-15 13:39:24
Great app?,False,1,Scott Rider,"Terrible in terms of user friendly, not intuitive in the least. I was able to submit request for med refill after many attempts to do so. ‘Adding’ meds literally has multiple meanings in the app you guess which one you want. Finding your pharmacy is also fun, hint after putting in name of pharmacy hit magnifying icon to get list of local stores rather than going thru list provided by search which is endless.",2019-08-16 20:33:17
CIMA Board of Directors,False,1,umsteadg,"How could you purchase such a low grade, low quality app?  Everything about it the look the feel and the content says I don’t care about my patients, I think as a patient we are worth more that this High School prototype of an app.   I got an email from CIMA telling me to go into the app and pay my bill.  What a joke the app doesn’t have a billing or payment tab, or anything that looks like the place to go to pay a bill.",2019-01-22 01:47:14
Makes life easier,False,5,Bob Huffman,"I like how it works, easy to contact my doctor & see lab results as soon as they are posted. Can manage appointments.",2022-04-30 10:58:08
Like this app,False,5,Far Oonagh,"I like and use this app quite often. Ir is much better than waiting on hold for minutes, sometimes many.",2022-04-12 20:27:25
OK,False,3,GrannyLittle,"So much easier if the appt reminder just came direct by email instead of email to go look at Healow.  So what?  Not very informative, can view only in portrait view (inconvenient on an iPad with attached keyboard), slow on update.  I don’t see the point, except this is the only way my surgeon’s office is willing to communicate (or not!).",2019-05-08 18:50:12
Waste of time,False,1,Jeannette R.,"I was pretty sure I had this app but took for a long time to reset my password. It won’t let me add new names and keeps taking me to the same place over and over, even though I have 2 different pediatricians for my kids. I tried for well over an hour and I still don’t have it figured out on how to add 2 more people.  What a waste of time I will never get back.",2021-02-28 03:45:51
Worst app,False,1,JosephineSerescu,"I find it to be the worst app you can have to communicate through with the doctor..while outside US , you can open it but messages can’t be read. You would have to keep on trying even to open and then composing /read a message is a nightmare. I was able to find the immunisations my baby had done, guess what the next day they are there or at least no showing. Horrible app, I hate it.",2020-04-05 11:18:38
Piece of crap,False,1,KayleighShine,I forgot my password. Easy enough to solve. Or it WOULD BE if this stupid app would recognize that I have changed my password but instead it just keeps insisting it’s not the right password even though I JUST CHANGED IT. So it wants me to change it again. Okay. Whatever. Different page this time so I’m like maybe it will work. WRONG. Put in a new password and click the log in “button” BUT WAIT. ITS NOT A REAL BUTTON AND WHEN I CLICK IT IT JUST HIGHLIGHTS THE WORDS LOG IN.,2020-01-18 19:25:46
Absolutely terrible,False,1,skmclau,I hate that I am forced to use this app in order to communicate with my doctors. It hardly ever works. The messaging concept is broken half the time. It doesn’t show the providers to even message the doctors. It runs so slow and doesn’t even load half the time. The notifications don’t even work so I never know when I get a message until I go into the app. This app is absolutely useless and I hate it.,2019-03-08 18:31:14
Difficult to Use For Multiple Accounts,False,1,Chlecl,"This app may work great for one user but having to manage multiple accounts (like for my kids) is extremely difficult. The interface needs to be greatly improved to be able to handle that smoothly. The app is slow and extremely frustrating to use and I’m pretty computer savvy, so that’s saying a lot. Would not recommend.",2018-08-25 13:55:29
Good app,False,4,Cms-h,Having the ability to see test results and compare them with earlier results is extremely helpful as is the ability to consult with my doctors via email.,2022-05-10 17:35:35
Very poor,False,1,PoodleguyNC,"This is the 3rd app I have to use to communicate with my healthcare team.  This is the worst.   No ability to email my provider or send documents from other providers.  I have to print out my labs, etc. and hand carry them to the office.  Not user friendly to the patient, maybe there is something in it for the provider but so far for me useless.  Talk me out of it, please",2022-01-04 02:23:59
Unreadable,False,2,Cfggbhhyttffbbnjjuygffrrtgh,"I just installed this app so I don't know how useful it will be.. It's unlikely I will use it much however, because it is almost impossible to read.. Whoever designed it obviously wasn't a 64 year old guy with poor vision.. Light blue background with white print? Seriously? And it diem size to a tablet. It's still cellphone sized, even on the iPad. Really poor design.",2020-06-10 01:40:18
Well made app. Trackers are limited,False,3,Spacecadet77,"I like the app in general. Seems well built. However, there’s not enough support for devices. The list is fairly limited. Needs support for Amazfit Bip and Apple Watch to name a few. Also, needs to be able to share data with Apple Health app.",2022-02-13 19:07:58
1990s technology today,False,1,mnbvcxzasdfghjkkl,"I use this app to communicate with my doctors office. They seem to be bringing on different features of the app slowly. I was very happy to see them embracing a more modern form of communication but they made a serious blonder by selecting  Healow, it is like take a step back in time. I can’t reply to a message from the staff. I have to create a new thread each time and there’s no spell checking. Hello, 1990 called and wants there email program back.",2019-04-17 00:15:20
Great app,False,5,Ifyourereadingthis,"Perfect app for keeping up with appointments and sending messages for a quick response. With everything being paperless and no phone communication now, lol. This is great! No being on hold forever! All around love the app.",2018-01-23 02:09:26
