title,rating,isEdited,review,userName,date,body,id,modified
Missing options and wrong address,2,False,"Although there are many good options on this app ....
I received an email requesting I fill out a questionnaire prior to my appointment and to use echeckin.  The email directions guided me to options that were not present.  While I was looking around app for another way to access the questionnaire, I noticed the address the app listed for my appointment was at the wrong location.",mimaalel,2017-07-23 18:25:27,,,
Convenient,5,False,"This app is very easy to use! It’s great in terms of tracking you appointment, knowing how to prepare for appointments, and reading medical notes. My favorite part is how easy it is to contact your doctors directly with the patient portal! Makes communication so easy!",LADub5522,2019-03-08 03:42:33,,,
Functional but needs some work!,3,False,"It’s not a bad app, served the purpose while I was at Mayo. 

I however am unable to send my physician a message after this last update. 

I wish I could have roamed campus while being a checker (waiting for a cancellation) instead of having to waste all day in a waiting room.",Spawnboy,2018-10-08 02:27:22,,,
Great App!,5,False,"This app is so awesome for looking at records, keeping in touch with your doc, and looking at statements. It’s so easy to use and has helped me understand everything that’s going on between me and my doc. 10/10 would recommend :)",czyJ0616,2019-11-03 03:42:10,,,
Wrong diagnosis,5,False,"While looking on my medical profile I noticed that  , you stated that I am suffering from Type 2 Daibetes . In fact I don't have the case and I am not suffering from it. Please I hope you'll correct this information.",niddo1950,2018-10-13 03:29:52,,,
Billing,2,False,"I am 75 years old so that could be my problem, but I cannot understand the billing electronically. 
I have been going to Mayo since 1990 and love the care I get. The billing has become a real problem in the past year. Today I received a check for a non assigned claim. I tried to apply check to my account and realized my balance was almost $500 again!  Is there anyone that can help me?
Nancy 1313",4-135-391,2019-05-30 14:30:14,,,
Well designed and easy to use,5,False,Easy to find the information I need about my health history. Love the mobile check-in.,mutt4me,2021-10-25 21:52:51,,,
Lost chart function is no upgrade,2,False,"Until the latest revision, I was able to view labs with historical charts. The history is still there but not grouped by lab test; they’re listed now by date. So if I want to compare the same lab results, I have to scroll endlessly and write down each result before I search for the next date. I loved the previous version. This one is unfortunate.",Franks8519,2018-08-04 20:05:20,,,
Cannot Log Into App Using WiFi,1,False,"The app worked great up until a previous release.  Now when I attempt to log in, if I’m on WiFi, it errors out.  I have to switch to cellular in order to log in.   Once logged in, I can turn WiFi back on. This is an inconvenience.   I cannot use my iPad to log in, and have to jump through technical hoops on my iPhone just to get in.  Please fix.",FumoSanto,2022-02-24 23:54:05,,,
Login Issues,1,False,"This app was great for the longest time. However, after recent updates, I am no longer able to login to the app. No issue logging into the Mayo website. Changed password multiple times, deleted app and reinstalled multiple times with now fix. Looking for recommendations. Received notification to change password prior to an update. Had no issues logging in until about two weeks ago.  

“Update”

This app continues to not work. I have received no correspondence from the app developer (Mayo Clinic). Again, I have no issue logging in on the website. However, the website is horrible and slow on my mobile device. 

I would very much like for the app to work.",MTBRIDR2007,2019-12-02 03:12:24,,,
Great app,5,False,"Just concluded a visit to Mayo for condition I have related to spine and this is a GREAT app.  Constantly updated with appointments, test/scan results.  Ability to communicate with providers, set up reminders Etc etc etc.  One of best apps I’ve every used.",scdra403,2019-04-10 17:58:18,,,
Excellent,5,False,Having the ability to read the results of tests in a hospital app is unique in my opinion.  I find it very helpful in that I feel that I am a participant in my medical care.  The app is patient friendly and easy to use.,Lonstein,2018-08-16 13:06:50,,,
Such a wonderful tool!,5,False,"Medication lists, lab results, appointment scheduling and tracker, express care service and doctor’s notes all at your fingertips.   I can’t imagine a more comprehensive healthcare tool!",John C. Arnold,2020-08-07 10:50:23,,,
Awesome app!,5,False,Very easy and intuitive.  Wish I could store notes with appointments.  Also would like to be able to upload medical records.  It’s still the best app for medicine.,msclbear,2020-08-22 03:22:50,,,
No longer works well for sending messages,2,False,"It used to be it would list the various departments that you had visited in the past to be able to select on who you wanted to send a message to. Now it’s simply list the doctor name, which makes it very difficult. Also, many of the doctors in the new release do not even show up.",IL commentor,2018-10-10 20:10:43,,,
Great access; wish I could print,4,False,"Great access to records, chart notes, and images. Would be helpful to be able to print results in addition to chart notes",DrMom2003,2020-10-04 19:40:32,,,
Everything you need to know,5,False,The Mayo Clinic app has all your information in one easy to use website. I would highly recommend you use this great app.,Zenny01,2019-10-15 19:41:32,,,
Not very functional,2,False,I have tried to use this app but find that the messaging is too generic - I should be able to choose my physician - which is probably why my messages go unanswered for up to a week - the lab results are just a long list - overall navigation is not very user friendly - if you made it more like MyChart it would be great,Hfritz,2018-08-07 17:03:57,,,
Issues I’m having,1,False,"Every time I try to pre-register I am unable to click the checkbox that says that this information is correct. The only thing I can click on is edit and finish later. Also, when I try to leave feedback or report a bug it says we’re sorry there was an issue sending your message.",Samuel Clemons,2021-09-27 12:11:47,,,
Works well. Add ApplePay,4,False,"The app works well for checking in at the appointment. When it asked if I wanted to pay my co-pay, I said yes. But when I saw I had to enter all my CC info, I cancelled it. If it had ApplePay, I would have paid it immediately. Make it easier and quicker!",Caclementson,2018-10-18 00:51:53,,,
Missing Patient Information,1,False,This new app was a failed attempt to improve cosmetics and appear more professional. Unfortunately the user experience has not improved and all radiological images are no longer viewable. Using a tech savvy company to update online customer experience may improve appearance but it would have been preferable to contract with a company that better understands the medical industry.,A Bitstrips Fan,2020-02-02 15:25:39,,,
May2018 new Mayo Clinic App,1,False,"Very disappointing. A mish mash between a health/spa magazine and the esrlier Mayo Clinic app  which allowed for easier navigation and focus on visits to the clinic, access to medical records, contact with the Mayo etc. 
Am sorry I updated to this version of the app. Had I only known! This new redesigned app should have been built as a separate “feature” app  Featuring the spa, health and nutrition news from Mayo (with in app choice of purchasing Mayo Clinic publication e-books).",NY Chasqui,2018-05-22 23:27:46,"NY Chasqui, we’re sorry that you were disappointed! The updated Mayo Clinic app includes content for everyone.  Patients have access to all of the patient features you’ve become used to.  But we’ve also included health articles and a search capability to provide a wide range of health information from Mayo Clinic.  Feel free to drop us a note any time with other suggestions or feedback. Our email is mcmobileapps@mayo.edu.  Thank you.",3931095.0,2018-06-21T20:19:46Z
App doesn’t work,1,False,"Again, Mayo has changed a tech system without working out the bugs first so the system doesn’t work. I can’t make an appointment with a doctor I've had for years because he’s not in my doctor list and there’s no way to add him. So, I tried to email tech support and the email wouldn’t go through. If Mayo can't manage tech, how are they going to manage my care? Time to go to Baptist.",homeplanshopper,2020-02-25 11:46:24,,,
Like it but please bring back somethings,5,False,Please update the care team because some people aren’t there anymore or people have moved to a different Mayo Clinic and it makes it hard,crystalline36,2017-11-27 15:32:19,,,
Good information but poor design,2,False,This app seems to have been designed by an inferior IT department. Some basic user functionality is missing . They probably don’t care since they charge an arm and a leg anyway and are considered the Cadillac of medical services. Some third-rate hospitals have better app than this 😞,ray04122021,2021-04-11 18:17:14,,,
Where’s the help?,1,False,"This app is intended for more than just personal well being. It is also intended for a person to be able to manage their health care, but those options are hidden at the bottom of the screen in light gray letters. The majority of the app is just a calendar of articles telling you what you should be doing - what a waste of space!",eidox,2020-05-26 11:37:05,,,
Amazing Mayo Clinic health “everything” app!,5,False,All of my medical health info in ONE place!  My stress surrounding appointments has been reduced significantly. No need to pull out papers or remember all of the details - it’s just a face recognition sign in away!  Thank you!!!,Jolene's Ipod,2018-09-12 07:20:40,,,
Not an improvement,2,False,"The last app was much better
When you login to this app you are faced with pictures and weird graphics the. I need to navigate to the menu which is buried at the bottom and not intuitive 

I want to see the menu as soon as I log in Not the pics. I watch tv when I need to see pictures",EC18MK,2018-05-16 01:08:19,,,
Love the app BUT,5,False,I absolutely love the convenience of this app! BUT my only complaint...some test results should NOT be available BEFORE you speak to your health care provider!,Sharks7525,2020-10-07 00:05:56,,,
Love the new app only one problem,5,False,The only problem I can find is how do you print your blood test results. I need to carry records for when I travel. My blood tests are import for my health.,kooty12,2018-07-24 17:38:16,kooty12 - 🙌 🎉 🎊 😎 Awesome!  Thanks for the great review!  We’ll be looking into ways to enable that feature in a future version.  If you think of anything we can do better - feel free to drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4430562.0,2018-07-28T01:46:11Z
Great early morning ride to the airport,5,False,We were so thankful for a quick and safe ride to the airport after our Mayo trip. The car was cleaning comfortable.,casbah2021,2021-01-23 15:35:22,,,
Excellent Medical App,5,False,We are thrilled with the Mayo app. We can talk directly with our care providers and get quick lab results straight to our phone!,BummedinIdaho,2020-06-30 16:23:10,,,
Not Great,1,False,"App is awkward and non-intuitive. Many things just don’t work. “Click here for questionnaire” pops you to a screen to download the app (which you’re already in).  Appointment “ordered” for Cologuard and the schedulR writes, “check your appointment guide” - but after 10 minutes of rabbit-holing, can’t find that anywhere. Mayo is great for patient care. Not so much for digital tools.",Frusration,2020-08-29 04:09:28,,,
App no longer works.,2,False,"I use to use this app all the time but now it keeps saying can’t retrieve data, try again and keeps blinking this screen. I deleted and reloaded app and the same thing happens. I have the latest update. I really need this app working again for my appointments. Let me know if there’s a work around I can do. Thanks.",Katenac,2020-01-20 23:37:19,,,
It always says “could not sign in at this time”,1,False,"Never have been able to get it to log me in.

It fails twice, then tries to make me go through account recovery, only to immediately fail in the same way again.

The same credentials that are allegedly incorrect for the app log me in to my account just fine if I use the web version of the patient portal instead.",Subdolus,2020-01-06 14:02:57,,,
Notifications,4,False,"The app only notifies you when there is a new article. No notifications for Messages, lab results, billing, etc. e everything in the “patient” folder ought to have a notification.",Paid!,2019-06-12 14:22:47,,,
Very user friendly,5,False,"Awesome, patient portal. Have used 6 different portals in my life, hands down the easiest, well thought out and immediate information available. 2nd to none!",Really64,2019-08-19 21:27:17,,,
Dark mode is broken,2,False,"I have to change to light mode to send any messages since there’s no contrast. 

There’s no good reason to disable replies on some messages. 

I could not find a way to see my appointment/schedule history to find a given desk when I was late for an appointment.",mredig,2020-06-25 02:09:32,,,
Data out of date,4,False,"Still lists incorrect data, including some which I have asked to be corrected.  But it’s convenient if you know what to ignore.",d_augustine,2021-02-19 04:40:24,,,
Isn’t user friendly,3,False,Does not list enough information on the app about Covid shots or testing site hours.  This site should be more user friendly for patients and it doesn’t come close.,amylee62,2021-11-17 02:39:24,,,
One Star for Mayo,1,False,I hate the new Mayo Clinic app. They have redesigned it and lost a lot of my past information. It's just like going to Mayo… The doctors don't know what they're doing… and discard all the past information you bring them to consider. Don't waste your money or time. I've had a terrible experience at Mayo in the past and their app is also bad.,merlie37,2021-05-01 18:58:35,,,
Some result sections not available,4,False,"In the last week or so I am no longer able to review lab, radiology, or pathology reports. They work just fine if I go to the website.",Ambrosia282,2020-10-03 22:58:15,,,
Mayo App,3,False,"I did like the app, but this latest update dropped several test results I would like to share with my primary doc. Also, there doesn’t seem to be a way to print any results. So pretty useless unless the patient is a medical professional.",Adlumia12,2019-12-27 18:21:08,,,
Mayo Clinic ap,5,False,Look at your ap on a daily basis.  Love your up to date pertinent info.  Helps me be healthy and live life to the fullest! We love and appreciate what you do.,EKKENMA,2021-08-20 11:14:26,,,
New app,5,True,"A “minor” discrepancy in my information when this new app updated, but the staff were quick to revise the information.",Wolfman7059,2018-04-19 02:36:46,It should be updated now - please let us know if that isn't the case.,3178305.0,2018-04-19T02:36:46Z
Garbled text in test results,2,False,Website is absolutely not mobile friendly. The app should solve that but does not. When viewing test results and reading the notes the word wrap is broken. The text is wrapped incorrectly and unreadable. Don’t recommend!,tre-flip,2020-07-26 06:21:52,,,
Great tool for patients,5,False,This is a must have app for patients. It is easy to use and navigate. This is another reason why Mayo is one of the best medical providers out there.,Sum youn ho,2019-05-09 12:16:08,,,
Grateful,5,False,"Really love this app. Can look at my medical records, email Drs, nurse etc., even look at X-rays and other imaging. Just a really great way to stay up to date with your health related issues.",Shona&aly,2017-07-21 14:46:14,,,
Mayo Clinic May Be #1 But This App Isn’t!,1,False,"In an attempt to continue to improve this app so that it resembles what it once was... pre EPIC, the latest app fails miserably. Something as simple as logging off without resetting the app’s settings has now become a mystery. And how about using Touch ID? Why not allow a registered app user to log on using it? This app obviously was not field tested with its power users.",WxMan123,2018-07-14 12:16:47,WxMan123 - sorry you’re having issues.  We know how frustrating it is when something doesn’t work well.  Our latest version of the app included a padlock icon on top of the Patient screen that should make signing out much simpler for patients and should allow TouchID to work much better when you come back to the app. If that still doesn’t help you - please drop us an email with your username and we’ll have the technical teams troubleshoot things further.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258670.0,2018-07-16T17:24:41Z
Lightning fast,5,False,Every result is in real time as quickly as it comes to your provider. Super helpful tool to have when at mayo.,starfilled57,2019-12-06 17:07:52,,,
Waste of Time,2,False,"My appointment is next Tuesday, August 5th.  I received an email saying that I have a form(s) to complete before my visit.  When I go to look for the form(S) I find all sort of information, but nothing as to forms to complete.  I guess I’ll complete them when I arrive Tuesday.",Allen's Diner Regular,2020-08-01 21:05:52,,,
Billing portion,2,False,"From my IPad I am unable to get copies of statements from Mayo Clinic Rochester showing how billing totals were arrived. I am using the new and improved Mayo Clinic app. Also, if I choose not to pay on line, where does one send the payment?  Since I have no desk top computer, I find the lack of information really frustrating.",Window woman,2019-01-08 20:16:38,,,
Room for improvement,2,False,This is a good app to use for contacting your provider for non urgent questions as well as for insurance questions. It does not accurately track historical data nor does it accurately track labs or provide a picture of what that might mean. Explanations are clearing lacking. This app could be much better.,Petunia1133,2020-05-04 14:45:00,,,
Online portal,1,False,I continue to be locked out of my own account and Mayo refuses to send me a password reset. Keep getting can’t password reset now . Always having to have prove who I am . Mayo do better !!! This is ridiculous that I have the same issues over and over to my online access.,angelwings0810,2022-04-17 14:22:35,,,
‘Upgrade’,1,False,"This app was working great before the upgrade to the new system. Since then, information is not able to be kept current for messages, notes and documents. The provider must be called for any information, which defeats the purpose of sending messages and reviewing information online.",unhappy102938,2018-05-09 21:36:50,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3423740.0,2018-05-10T15:44:15Z
saved favorites,4,False,It would be very helpful if I/you could sort my “save favorites” into separate category lists.,Howard G.,2021-09-30 16:17:34,,,
User-friendly,5,False,This app is very user-friendly. I love that I can message my provider and check my future appointments. Very helpful!,KieleAnn,2019-03-07 04:59:06,,,
Great application!,5,False,"Quick access to your doctors notes, test results, appointments, etc..",imamom3,2020-10-23 15:11:36,,,
Needs Improvement,2,False,I follow the link from my email and opt to open in the app. It just goes in circles back to the App Store. They need a lot of work on this to bring it up to date especially in times like this. I’d give it a 1.5 if I could if not for all the useful information.,Lindsanne86,2020-04-21 00:23:52,,,
Patient Documents and Notes,1,False,Ever since the new system was launched I cannot rad the notes entered by my husbands  Mayo Hospice caregivers.  I am his voice with permission as well as being his power of attorney.  I looked in my own  portal and see the documents and notes are not visible.  Hospice tells me I should be able to view everything they see and enter.  So disappointed!,Murlinmarie,2018-07-10 15:52:56,Murlinmarie - oh no - we’re sorry!  We know how frustrating it is when something doesn’t work well.  If you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258572.0,2018-07-16T17:17:59Z
Good but lacking,3,False,New view is great but have lost information to track scripts when doc orders. No dated information when script has been sent or message back that request has been reviewed or action taken,GigabyteFL,2018-11-23 06:07:49,,,
Useless compared to previous comprehensive versions,1,False,"No symptom checker

Content is all generic identity keyed info pertaining to all, thus relating to no possible linking of an individual’s medical situation.

Overall effect of the present app is to be nothing more than a general interest magazine one reads while waiting in an office or while relieving oneself on a toilet.",Deux a machina,2022-01-17 09:10:15,,,
Needs improvement,3,False,Logs you out after short periods of time; constantly have issues sending messages.,SweetiePie-2021,2021-10-15 21:19:33,,,
Needs improvement,4,False,"Great app, but my husband and I would like an automatic sign in option so we don’t have to type in a password all the time.",Helenaaaaaa,2020-01-21 16:03:52,,,
App rocks!,5,False,"Great app!  Intuitive and easy to use.  Tons of great info, tips and recipes with your healthcare professionals at your fingertips.  It’s a good time to be alive!",Antique Future,2020-05-26 18:41:20,,,
"Clear, easy to read - but can’t figure out how to add",3,False,"Sleek design, loads smoothly.  Completely lost, however, on how to add information.  Example: I have allergies and medications. Tried several times to complete, still puzzled.",Wisconsin cheese girl,2020-01-28 04:28:44,,,
Mayo App is amazing for patients.,4,False,"Besides a continuous flow of up-to-date - credible - medical information for patients this is amazing.
As appointments change the app is cirrent, and results ar presented thru the app very quickly after the test.",I came I saw I left,2019-12-03 21:33:48,,,
Excellent Thank you!,5,False,"Excellent app, easy to view labs and message doctors. 
Easy to view appointments and set reminders",Joe and April,2020-12-29 18:54:50,,,
Lack of search function renders app pretty useless,3,False,This would be a great app were it not for the fact that there is no search function. Far too much info to sort without a search utility.,~jlb,2017-08-19 21:41:44,,,
"Great app, does it all",5,False,"And it’s getting better by the day, I can do everything from within the app.",Amnon Feiner,2018-12-14 16:32:39,,,
Mayo App,5,False,"I find this app to be most useful.  My doctors send messages, I have my records at my fingertips, reports are available, appointments at a glance and lab results. Very progressive!",Joyce32224,2017-12-31 22:40:06,,,
Alert message,3,False,"The app needs to have an alert on what is new. When you get an email telling you have a new message or lab result, but you dig in your portal trying to figure out what it is. The old app had that alert. Thanks",Angie1942,2018-04-26 19:33:35,,,
Unfriendly!,1,False,"Fortunately, I’m fairly healthy and don’t visit the clinic very often. I’m happy to try your new app, but I’ve forgotten my account password. There is not an option to reset a password by sending a link to my email, which is customary. Now I have to call the clinic for in-person help. I won’t use your app after all. No stars from me.",Stone Garden,2019-07-13 17:59:42,,,
Must have,5,False,If your going to the Mayo Clinic download this app. It is the best thing you could have to help you with your stay while st the clinic.,Coach Speer,2018-08-09 16:03:25,,,
"Okay, but..",3,False,"Great for getting info that the dr has deemed you can have portal access to. But site has bugs and very limited general info. I don’t know, just not all that impressed?..",voodookittyx,2021-06-18 00:17:32,,,
Great Tool,4,False,I think the app is easy to use. I like the information to read and view.,Bookworm want-a-be,2022-04-27 02:23:53,,,
Poor update.,5,False,I am unable to email my team with equipment needs for Cochlear supplies on this app. The last app was much better,thaienekdnsbf,2018-04-18 16:17:11,,,
Version 8.0 Removes Patient Access to View if Message was Read by Provider,1,False,Don’t update if you want to retain the ability to know as a patient if your message has been viewed by the provider. They removed the option for patient to view if read.,zeroxeronoluck,2021-08-20 01:07:08,,,
Great care!,5,False,Everyone is very professional. Always kept me informed of what was going on.,Nettybyrd,2020-08-28 17:28:48,,,
Glitchy,3,False,I am trying to log in I type in all the correct information and I keep getting an error message,Jessicake2,2022-02-07 23:00:50,,,
Poorly laid out and glitchy,2,False,This app should be better.  Attempts to contact the provider here get error messages.  As do attempts to link accounts to comment on the app.  May I should learn from other systems with better apps.,MarriotGoldMember,2021-10-04 13:17:14,,,
Good and bad,3,False,"Some great features but the paper system was much better for navigating the campus.  The app’s top level appoint screen doesn’t have details of each appointment, you have to dig though sub menu to get any relevant facts.",pkrehbiel,2018-10-25 16:52:07,,,
Meh!,3,False,"Three stars because although the Mayo health info is great, the patient personal info area is hard to navigate, often difficult to find where to click.",Endgamers2019,2020-01-27 14:02:02,,,
Can’t print or email results to myself,2,False,This app makes it hard to compare past results with newest ones. I want to be able to print out results,larumm,2021-09-28 16:15:46,,,
Very Good Clinic App,5,False,I am very pleased to say that this is a very well designed app. Much better than my local health provider’s app for sure.,Tlf560,2020-03-20 20:38:32,,,
Non functioning,1,True,"I signed up for a Mayo account which functions pretty well, then downloaded the app because the normal link kept offering it.  Over and over again the Mayo App refused to log on.  I've deleted the app and am now ignoring all the offers for the app that kept popping up on the main account pages.",Pat Hammarback,2019-11-20 13:33:33,Hey make this simple! - oh no - we’re sorry!  We know how frustrating it is when something doesn’t work well.  If you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.,3930987.0,2019-11-20T13:33:33Z
Wonderful app,5,False,Very informative and useful to manage your information. Mayo in general is very impressive and there app equals their dedication to their patients.,Juce99,2019-01-06 11:04:30,,,
Mayo app,5,False,Gets you all your information quickly and with ease,heatherot,2018-06-13 18:05:04,😀 😀 Thanks!  If you have ideas for what we could do better feel free to send us an email.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,3930788.0,2018-06-21T19:28:48Z
Awful,1,False,Literally the worst. Horrible for anyone over 35. Not tech or user friendly. Bunch of useless health blog information on there. Can’t even leave feedback or check medical information without an error message. This needs to be totally reevaluated. It’s the worst.,xiomarazz,2022-01-06 18:18:08,,,
Mayo app,3,False,please keep in mind you  Service a lot of elderly patients which many have a difficult time navigating this app. Please keep it simple and to the point. Thank you for this opportunity to air my concerns,Jddsix,2019-09-08 16:08:51,,,
A few Bugs…,3,False,Has a few bugs - including a bug/error message preventing me to send a message about bugs!,Mikespike501,2021-11-22 17:26:33,,,
Mayo app review,5,False,"I really enjoy the app, it’s easy to use, contains an enormous amount of information, and makes it easy to communicate with any department at Mayo.",rapidwater,2018-12-13 15:55:28,,,
Absolutely fantastic,5,False,One of the best apps for all my health care needs and the facility is amazing too,BobDole4200,2021-08-22 04:57:54,,,
Sent messages,1,False,"Where are my SENT MESSAGES - - my history. I need to see my HISTORY - - Such as, when is the last time I discussed - whatever! The answer is in my SENT MESSAGES. It’s a serious defect to eliminate message HISTORY - in fact a very dumb idea. And, the “email” message history does not consume a lot of resources.",94055118995645058,2021-10-27 03:19:38,,,
Broken Questionnaire Section,2,False,I’d give 5 stars if they fix the Questionnaire section. It gets stuck and you can’t submit it. Can’t fill out your info before your appointments. It’s been like this for a long time.,Alf4lifeHolmes,2020-09-22 16:43:42,,,
Lab results,4,False,Downloading lab results you need to be formatted in a way you can print them out as the are shown on the my screen.,wcybewh u,2019-07-30 14:37:51,,,
Literally amazing,5,False,The best healthcare app ive ever used. If I could give more than 5 stars I would!,ajcarr81,2020-08-01 04:33:36,,,
Unable to cancel - keep getting billed,1,False,Very frustrating!   I tried (2) x’s to cancel and yet I keep getting billed.  I don’t even use the app.  Tried it for the’trial’ period and have been unsuccessful in getting my cc removed from the site ever since.   DO NOT put your cc info in unless you want to be eternally committed to this site!,SPeters1970,2019-12-13 13:39:13,,,
"Great Hospital, Great App",4,False,"The redesign gets it right, many app developers could learn something what the team at Mayo has accomplished. Next version I would like to see Apple Health and/or Watch integration.",GeeMoney57,2018-06-22 10:50:34,GeeMoney57 - 😎 - thanks!  We do already have Apple Health integration (Profile - Settings - Connect to Apple Health) as well as Watch integration.  Check them out and let us know if you have any suggestions for improvements. Our email is mcmobileapps@mayo.edu.  Thanks so much.,4061894.0,2018-07-02T18:45:28Z
New version,2,False,Since Mayo did computer upgrading few months ago I can not access radiology reports or images in the app.  Called many times on it still not working.  Everything else works fine,gillettwi,2019-03-13 04:37:43,,,
<5 for Mankato 😡 >3 for Rochester 🙏🏼,4,False,"Home page feels like most social media feeds, user friendly, decent amount of information available.",JPXIIXIV,2020-03-01 07:10:22,,,
Made me stay easier,5,False,"This app help make my stay so much easier.  I could keep my schedule in order at a glance.
I was able to view the lab work and x-rays as soon as they posted.  Allowing me to be prepared for my appts with my Drs. 
Over all having Mayo at my finger tip 24/7 gave me a safety net during my visit.
It made me feel better.
Thank you.
Lauralee",lauralee92,2017-09-25 20:04:53,,,
I found that the application makes contacting my physician easy,5,True,Please don’t permanently take out the Rx’s filled section.,Baybblu19,2019-02-08 17:29:25,"Baybblu19, sorry you’re having trouble with the new changes.  We work on improving the app with every release.  Our 4.0 release was a pretty major change to the user experience so we would understand if that would cause some frustration.  If you email us with your username and a short description of the changes you don’t like - that will help us improve the app in future releases.  Our email is mcmobileapps@mayo.edu.  Thank you.",3915620.0,2019-02-08T17:29:25Z
New patient,5,False,Very easy to view everything care related,Jax HC,2020-02-26 23:25:31,,,
Excellent,5,False,"One of the best designed apps I have seen. Everything you need, laid out logically, presented perfectly.",Vista Clara,2019-08-24 01:08:41,,,
Health aspect great-Billing aspect poor,2,False,"Longtime Mayo patient. Love their medical care. It has saved my life. However, the billing portion of this app is poor.  I use an IPad. Unlike the Mayo website, there is no access to account details on the app, and the statements that are available are constantly fluctuating.  Distressing.",Lilyismycat02,2019-10-10 14:44:17,,,
Frustrated,1,False,"I really can’t judge the app fully, as I can’t get my son registered. When I try to enter his birthdate, it switches back to current date in 2000. I’ve tried on both my iPhone and iPad, but same issue. I’m sure it will be great once I can access his medical records, but first I have to be able to get him registered!",Alfhdbdh,2018-07-12 18:00:59,Alfhdbdh - sorry about that.  The app only allows an account to be created for someone over the age of 18.  If you’re looking to get proxy access for your son’t account - you’ll need to do that currently through Mayo’s Patient Online Services portal - www.mayoclinic.org.  If that still doesn’t help you - please drop us an email with your username and we’ll have the technical teams troubleshoot things further.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4258621.0,2018-07-16T17:21:14Z
Troubles,1,False,The app seems to currently be having issues allowing any one in my family on. Even after changing out passwords. We can log on through the website but not through the app,GrannieGuRah,2020-11-02 01:45:57,,,
Client friendly,5,False,Compliments to the Mayo app team. I use 3 other apps from 3 other medical clinics. Mayo gets 5-stars in comparison. Thank you.,Earth spun,2019-08-16 20:57:01,,,
Patient,5,False,"User friendly and always up to date! A good way to communicate with staff. 
Love it!",sjg3!,2019-08-13 21:24:24,,,
Best advice and more for free,5,False,"You can have the Mayo Clinic on your side or not; it’s up to you.

However it seems like a no-brainer.",Professor Garabaldi,2019-04-17 00:49:54,,,
App gets better and better!,5,False,Very happy with the app and how it has rapidly evolved to be my go-to tool of choice to interact with Mayo.,Tony_AZ,2019-01-10 22:00:21,,,
Great Service,5,False,In true Mayo Clinic tradition this is a well designed and well managed Patient Portal. It is invaluable. Thank you. EMH,oldesteddie,2021-09-15 15:15:26,,,
Not a stable app.,2,False,My thumbprint access keeps getting removed and my ability to log in manually seems to always lock my account,Snownut800,2020-12-15 15:56:47,,,
Apple Watch,1,False,"Watch series 5 - the app tells me first go on my phone. Okay, did that and went to settings to allow for the watch. Still not connecting. With my health issues my phone isn’t assessable sometimes and I am more likely to have my watch on. Please make an app not in “complications “",Fla-granny,2020-02-23 13:44:05,,,
Exceptional App.,4,False,"Mayo has given me a very important tool to stay on top of my responsibility. Thank you. 
Please put the search capability back in lab test results.",stevemoghaddam,2018-04-17 18:23:37,,,
Very convenient,5,False,"Awesome app! I work at Mayo Clinic, haven’t been to the doctor in a while, very user friendly!",Wallydagreemgiant,2019-05-24 18:19:48,,,
Great app,5,False,Really reduced the stress of logistics allowing to focus on the care. Everything question I had was available in the app. ECheckin was great.,NicAndy19,2019-03-25 14:12:24,,,
Has issues,2,False,"Great app but lately I’ve noticed some issues:

Pre check in- on iPad Pro boxes are stacked on top of each other, you check the box to say info shown is correct and then the next and finish boxes are mostly hidden behind the “this info is correct box”.

Top bar- shows as black with dark blue cancel, back, or ??? Up need to press to move off the screen. 

Works fine on my iPhone and old iPad Air.",Shoiemn,2021-12-08 18:43:35,,,
Great App,5,False,"Thanks for the easiest way to retrieve store and monitor all I’m doing with you organization, 5 out of 5
Tony C",DudeO~,2020-08-24 04:33:49,,,
Minor is allowed to withhold information,1,False,As a parent of a 13 yr old child there is no way there should be no rule to give the clinic or hospital the right to withhold medical information from their legal parent/ guardian...  they are a minor and not adult..   how do I get medical information for my minor child???  Anyone think this is not morally and ethically right?,hudhcgdhcgcnvgv,2019-11-21 21:34:33,,,
Email & app not sync’d,3,False,When I receive an email notification that I have a test result I would expect my app to open rather than entering an email and password on a webpage. C’mon Mayo Ux goes a long way,TechSmarts,2019-06-29 01:23:35,,,
Used to be a nice app,1,False,"This update is really disappointing. Lost all access to things that were so intuitive to use. All of the social media, connect with an expert additions are crap. Clearly didn’t ask end users what they want. I just want to look at my results and upcoming appointments.",MMD926,2019-06-06 02:43:14,,,
In the Dark Ages,1,False,"Mayo is notorious for being so far behind the research that it is practically anti-science, at least when it comes to contested illnesses and treatment, which comprise a huge swath of medicine. Unfortunately this leads to a tremendous amount of iatrogenic morbidity and mortality. Please do better. Millions of lives are in the balance.",MedicineUpdate,2020-12-27 11:40:51,,,
